name,family,dominant_interaction,base_name,base_value,theta_rad,theta_deg,x,y,z_log10_N,N,compton_frequency_hz,lifetime_s
pi_plus,meson,weak,e,2.718281828459045,2.571747655969097,147.35028665969168,-0.8419846092997902,0.5395015455976745,14.943771874719356,878560907002411.5,3.374797015335964e+22,2.6033e-08
K_plus,meson,weak,e,2.718281828459045,5.839190617687098,334.56097816585896,0.9030429530420054,-0.429550258946697,15.169617903259415,1477807625730168.0,1.193705675064756e+23,1.238e-08
K_short,meson,weak,e,2.718281828459045,0.05102667239661443,2.9236129709227043,0.9986984218010738,0.05100453207357644,13.032361426487812,10773614372629.879,1.2032180447431181e+23,8.954e-11
K_long,meson,weak,e,2.718281828459045,2.237749849941983,128.21362200770892,-0.6185952144784919,0.7857098450600634,15.789274872247002,6155663516905793.0,1.2032180447431181e+23,5.116e-08
eta,meson,electromagnetic,e,2.718281828459045,0.6595758709214836,37.79091367246657,0.7902522011209563,0.6127817381608918,4.82282926003031,66501.16599178579,1.3247244221471272e+23,5.02e-19
rho_770,meson,strong,e,2.718281828459045,5.087300851620836,291.48086791118334,0.36619052317731743,-0.9305398974440174,-0.08265966936381419,0.8266855198600702,1.8745703398187536e+23,4.41e-24
omega_782,meson,strong,e,2.718281828459045,4.307577436847924,246.80600705716697,-0.3938455425877323,-0.9191766362260165,1.1663292053773442,14.666591816628907,1.892463460210182e+23,7.749999999999999e-23
phi_1020,meson,strong,e,2.718281828459045,4.040404719913618,231.4981379757878,-0.6225400698634831,-0.7825879256763226,1.582156678747984,38.208208826239556,2.4650457307251326e+23,1.55e-22
D0,meson,weak,e,2.718281828459045,5.929321997072681,339.72512580634526,0.9380409854398365,-0.34652432762370455,11.267197457307917,185010960278.34146,4.509163058209639e+23,4.103e-13
D_plus,meson,weak,e,2.718281828459045,5.463833516059623,313.0546004323415,0.6826949991477964,-0.7307034543086479,11.669317322546195,467000475264.6251,4.5208177663564874e+23,1.033e-12
Ds_plus,meson,weak,e,2.718281828459045,1.2429265127646305,71.21444342632657,0.3220270485885103,0.9467304684953227,11.377567751184174,238543590127.85135,4.759449124657848e+23,5.012e-13
J_psi,meson,mixed,e,2.718281828459045,3.6177450524115486,207.28152285751653,-0.8887650949516,-0.4583629631587541,3.7244148040524654,5301.695785739452,7.488270883812783e+23,7.080000000000001e-21
B_plus,meson,weak,e,2.718281828459045,2.316375811771703,132.71855778070858,-0.6783976689955106,0.7346949045021735,12.320353652430827,2090998168550.197,1.2765556584555537e+24,1.638e-12
B0,meson,weak,e,2.718281828459045,1.8345650265326843,105.1128332626287,-0.26072075126005884,0.9654142581619511,12.287050836244319,1936648644657.1626,1.2766306161220584e+24,1.517e-12
Bs0,meson,weak,e,2.718281828459045,1.9333591386150295,110.7733189256895,-0.3546716012229193,0.9349909386116908,12.293879496489762,1967340336858.258,1.297717900302281e+24,1.516e-12
Upsilon_1S,meson,mixed,e,2.718281828459045,1.4818081892648476,84.90135529279847,0.08887073616582478,0.9960431678664055,4.445367569337434,27884.802274074773,2.2875145425820157e+24,1.2190000000000001e-20
W,boson,weak,e,2.718281828459045,5.12060227019555,293.38889864731306,0.3969700634907195,-0.9178315579081895,0.7882310922760309,6.140886807441088,1.9433186099497117e+25,3.16e-25
Z,boson,weak,e,2.718281828459045,4.784446709219846,274.1286037435526,0.07199538726906708,-0.9974049650026698,0.7649959817301074,5.820978319391123,2.204916030072395e+25,2.64e-25
Higgs,boson,mixed,e,2.718281828459045,3.0500936669733147,174.75749423715177,-0.9958168873868888,0.09137136747957961,3.685178675832777,4843.716049744508,3.027322531090317e+25,1.6000000000000002e-22
top,quark,weak,e,2.718281828459045,3.9108655726273165,224.07609155455916,-0.7184166264851088,-0.6956130754879148,1.1389084362748172,13.769191379267722,4.172482236141734e+25,3.3e-25
muon,lepton,weak,pi,3.141592653589793,4.33799383209045,248.5487381325655,-0.3657096429984367,-0.9307289922517489,16.74918461424223,5.612865226160765e+16,2.5548081529516867e+22,2.1969811e-06
tau,lepton,weak,pi,3.141592653589793,2.005394088580663,114.90061753615636,-0.42104558949895843,0.9070394762982892,11.09597171977255,124730229022.9188,4.2965976239379536e+23,2.903e-13
neutron,baryon,weak,pi,3.141592653589793,5.665551939016082,324.61221471778146,0.815251272444264,-0.5791073844961818,26.300073716822478,1.9956010180556114e+26,2.2718590824858967e+23,878.4
Lambda,baryon,weak,pi,3.141592653589793,5.380833815295473,308.29906787770693,0.6197662644978716,-0.7847864533682741,13.84879890259473,70599057394570.8,2.6977094915770273e+23,2.617e-10
Sigma_plus,baryon,weak,pi,3.141592653589793,5.52223700594947,316.4008739118647,0.7241823798714618,-0.6896084981231785,13.362837396118582,23058836828435.76,2.8758838648585384e+23,8.018e-11
Xi_minus,baryon,weak,pi,3.141592653589793,3.7425238370577416,214.4308205905152,-0.8248094714238124,-0.5654107673626062,13.719169493736818,52380482397347.77,3.195880561156057e+23,1.639e-10
Omega_minus,baryon,weak,pi,3.141592653589793,1.2398801310935748,71.03989861378906,0.3249096521988067,0.945745059679431,13.521150664275083,33200961746063.605,4.043966107924921e+23,8.21e-11
Delta_1232,baryon,strong,pi,3.141592653589793,2.8089264096667788,160.9396282367417,-0.9451750041590689,0.3265642532686397,0.22225309913704822,1.6682191378992266,2.978962746248619e+23,5.5999999999999996e-24
pi0,meson,electromagnetic,pi,3.141592653589793,5.98735446151592,343.0501410936859,0.9565602521626742,-0.2915347045936063,6.439541066697468,2751319.756290731,3.2637245033104756e+22,8.43e-17
pi_plus,meson,weak,pi,3.141592653589793,0.36999830402023737,21.19934124735792,0.932327958897148,0.3616138507561316,14.943771874719356,878560907002411.5,3.374797015335964e+22,2.6033e-08
K_plus,meson,weak,pi,3.141592653589793,3.2243336385900268,184.74070923326863,-0.9965789171167793,-0.08264660887385336,15.169617903259415,1477807625730168.0,1.193705675064756e+23,1.238e-08
K_short,meson,weak,pi,3.141592653589793,1.3455452861921957,77.0940660425353,0.22335106799908713,0.9747380675974788,13.032361426487812,10773614372629.879,1.2032180447431181e+23,8.954e-11
K_long,meson,weak,pi,3.141592653589793,4.7726288906534595,273.4514926166473,0.060203483311296935,-0.9981861252277485,15.789274872247002,6155663516905793.0,1.2032180447431181e+23,5.116e-08
eta,meson,electromagnetic,pi,3.141592653589793,4.404239215813894,252.3443190321435,-0.303296073973056,-0.9528963697656375,4.82282926003031,66501.16599178579,1.3247244221471272e+23,5.02e-19
rho_770,meson,strong,pi,3.141592653589793,5.238498285077954,300.1438427214863,0.5021726040010341,-0.8647674113834428,-0.08265966936381419,0.8266855198600702,1.8745703398187536e+23,4.41e-24
omega_782,meson,strong,pi,3.141592653589793,2.174179326543672,124.57129931554806,-0.5674313471719381,0.8234207103581009,1.1663292053773442,14.666591816628907,1.892463460210182e+23,7.749999999999999e-23
phi_1020,meson,strong,pi,3.141592653589793,1.1463932752167845,65.68349633210119,0.4117768651770878,0.9112847048562434,1.582156678747984,38.208208826239556,2.4650457307251326e+23,1.55e-22
D0,meson,weak,pi,3.141592653589793,4.169415638989706,238.88991914995145,-0.5166839759480073,-0.85617619039457,11.267197457307917,185010960278.34146,4.509163058209639e+23,4.103e-13
D_plus,meson,weak,pi,3.141592653589793,2.9683871777893303,170.07605724807817,-0.9850373944380564,0.17234074259641863,11.669317322546195,467000475264.6251,4.5208177663564874e+23,1.033e-12
Ds_plus,meson,weak,pi,3.141592653589793,5.5643209722130855,318.8121075639408,0.7525540842804561,-0.658530447460711,11.377567751184174,238543590127.85135,4.759449124657848e+23,5.012e-13
J_psi,meson,mixed,pi,3.141592653589793,3.0883945263792456,176.95197183283557,-0.9985853133129403,0.05317303861635981,3.7244148040524654,5301.695785739452,7.488270883812783e+23,7.080000000000001e-21
B_plus,meson,weak,pi,3.141592653589793,4.91326774580294,281.50950545226425,0.1995305025913331,-0.979891615708416,12.320353652430827,2090998168550.197,1.2765556584555537e+24,1.638e-12
B0,meson,weak,pi,3.141592653589793,4.4923730079307775,257.3940133529243,-0.21824521053006396,-0.9758939635435235,12.287050836244319,1936648644657.1626,1.2766306161220584e+24,1.517e-12
Bs0,meson,weak,pi,3.141592653589793,4.578676434882045,262.3388354747475,-0.13331445944015066,-0.991073788829157,12.293879496489762,1967340336858.258,1.297717900302281e+24,1.516e-12
Upsilon_1S,meson,mixed,pi,3.141592653589793,5.916907865446669,339.0138484578549,0.9336670171851156,-0.3581422915834559,4.445367569337434,27884.802274074773,2.2875145425820157e+24,1.2190000000000001e-20
W,boson,weak,pi,3.141592653589793,3.6788046070729106,210.77997763856092,-0.8591387809976424,-0.511742664809067,0.7882310922760309,6.140886807441088,1.9433186099497117e+25,3.16e-25
Z,boson,weak,pi,3.141592653589793,3.3851496888855745,193.9547901931671,-0.9704863150824797,-0.24115619883724707,0.7649959817301074,5.820978319391123,2.204916030072395e+25,2.64e-25
Higgs,boson,mixed,pi,3.141592653589793,2.5925121418488275,148.54000406435924,-0.8530047663748388,0.5219031217973378,3.685178675832777,4843.716049744508,3.027322531090317e+25,1.6000000000000002e-22
top,quark,weak,pi,3.141592653589793,1.827624327740401,104.71516051495932,-0.2540138756187476,0.9672005743345811,1.1389084362748172,13.769191379267722,4.172482236141734e+25,3.3e-25
muon,lepton,weak,phi,1.618033988749895,0.9071590413405013,51.976384415944494,0.6159862171741816,0.7877569296752914,16.74918461424223,5.612865226160765e+16,2.5548081529516867e+22,2.1969811e-06
