record_type,members,member_count,persistence_neighbor_score
cluster,"[""K_plus"", ""Omega_minus"", ""W"", ""Z"", ""electron"", ""muon"", ""neutron""]",7,0.0098
cluster,"[""D0"", ""D_plus"", ""Delta_1232"", ""Ds_plus"", ""K_plus"", ""K_short"", ""Omega_minus"", ""Sigma_plus"", ""electron"", ""eta"", ""muon"", ""neutron"", ""phi_1020"", ""pi0"", ""pi_plus"", ""rho_770""]",16,0.0098
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""neutron"", ""omega_782"", ""proton"", ""top""]",13,0.0096
cluster,"[""eta"", ""pi0"", ""pi_plus""]",3,0.0096
cluster,"[""Ds_plus"", ""Higgs"", ""J_psi"", ""K_short"", ""electron""]",5,0.0094
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""electron"", ""phi_1020"", ""pi_plus"", ""tau""]",13,0.0092
cluster,"[""Delta_1232"", ""Ds_plus"", ""Upsilon_1S"", ""phi_1020""]",4,0.0092
cluster,"[""K_short"", ""W"", ""Z""]",3,0.009
cluster,"[""Higgs"", ""J_psi"", ""Omega_minus"", ""Sigma_plus"", ""W"", ""Z"", ""pi0"", ""pi_plus"", ""proton""]",9,0.009
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""W"", ""Z"", ""proton""]",7,0.009
cluster,"[""D_plus"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""muon"", ""phi_1020"", ""rho_770""]",7,0.009
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_short"", ""neutron"", ""omega_782"", ""pi0"", ""rho_770"", ""top""]",10,0.0088
cluster,"[""D0"", ""Ds_plus"", ""Upsilon_1S"", ""muon"", ""neutron""]",5,0.0088
cluster,"[""Higgs"", ""J_psi"", ""Xi_minus"", ""proton""]",4,0.0088
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_plus"", ""Lambda"", ""omega_782"", ""rho_770"", ""top""]",9,0.0086
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""K_short"", ""muon"", ""omega_782"", ""pi0"", ""rho_770"", ""top""]",9,0.0086
cluster,"[""Sigma_plus"", ""Upsilon_1S"", ""phi_1020""]",3,0.0086
cluster,"[""D_plus"", ""Delta_1232"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""electron"", ""muon"", ""pi_plus""]",8,0.0086
cluster,"[""Xi_minus"", ""neutron"", ""omega_782"", ""top""]",4,0.0084
cluster,"[""D_plus"", ""K_short"", ""muon"", ""phi_1020""]",4,0.0084
cluster,"[""Delta_1232"", ""Omega_minus"", ""pi_plus""]",3,0.0084
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long""]",5,0.0084
cluster,"[""Delta_1232"", ""K_long"", ""phi_1020""]",3,0.0082
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""K_plus"", ""Lambda"", ""Xi_minus"", ""eta"", ""muon"", ""phi_1020""]",10,0.0082
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""proton""]",4,0.0082
cluster,"[""D_plus"", ""K_plus"", ""Upsilon_1S"", ""W"", ""Z""]",5,0.008
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""K_short"", ""muon"", ""omega_782"", ""pi0"", ""proton"", ""rho_770"", ""top""]",10,0.008
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""K_plus"", ""Lambda"", ""Upsilon_1S"", ""Xi_minus"", ""phi_1020"", ""pi_plus"", ""tau""]",11,0.008
cluster,"[""Delta_1232"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""electron"", ""phi_1020"", ""pi_plus"", ""proton""]",8,0.008
cluster,"[""Higgs"", ""J_psi"", ""Lambda"", ""Xi_minus""]",4,0.008
