base_index,base,category_type,category,particle_count,angular_centroid_deg,angular_variance,overlap_score
1139,12.31886377275455,family,boson,3,226.28793306672725,0.42321854444060514,1.0
1139,12.31886377275455,family,quark,1,15.95641884198715,0.0,1.0
1140,12.328625725145027,family,lepton,3,118.32675665165306,0.7315387569768343,1.0
1140,12.328625725145027,family,meson,17,107.73041295605348,0.8279117218335322,0.6470588235294118
1140,12.328625725145027,family,baryon,7,127.28349723781263,0.8472757423287542,0.7142857142857143
1140,12.328625725145027,family,boson,3,226.20699318116922,0.4249791808299703,1.0
1140,12.328625725145027,family,quark,1,15.837862429940175,0.0,1.0
1141,12.338387677535506,family,lepton,3,120.32659923837689,0.7111186097166964,1.0
1141,12.338387677535506,family,meson,17,106.86737794505518,0.8265640181789288,0.6470588235294118
1141,12.338387677535506,family,baryon,7,131.12191167984656,0.8418897658997242,0.7142857142857143
1141,12.338387677535506,family,boson,3,226.1270960550867,0.42673729824394047,1.0
1141,12.338387677535506,family,quark,1,15.71947451547102,1.1102230246251565e-16,1.0
1142,12.348149629925985,family,lepton,3,121.5682778294944,0.6886648729330607,1.0
1142,12.348149629925985,family,meson,17,106.00689201278432,0.8252184938058489,0.6470588235294118
1142,12.348149629925985,family,baryon,7,134.37379245463492,0.8342829102946172,0.8571428571428571
1142,12.348149629925985,family,boson,3,226.0482459829332,0.42849285335617404,1.0
1142,12.348149629925985,family,quark,1,15.601254702616405,0.0,1.0
1143,12.357911582316461,family,lepton,3,122.15233741157341,0.6646820680095449,1.0
1143,12.357911582316461,family,meson,17,105.14890788593618,0.8238754180020889,0.6470588235294118
1143,12.357911582316461,family,baryon,7,136.9494971018146,0.8248182283896033,0.8571428571428571
1143,12.357911582316461,family,boson,3,225.97044728325616,0.4302458027865905,1.0
1143,12.357911582316461,family,quark,1,15.48320259669997,0.0,1.0
1144,12.36767353470694,family,lepton,3,122.17948752143593,0.6395820699573397,1.0
1144,12.36767353470694,family,meson,17,104.29337944259586,0.8225350591899692,0.6470588235294118
1144,12.36767353470694,family,baryon,7,138.83717147964973,0.8138726210967943,0.8571428571428571
1144,12.36767353470694,family,boson,3,225.8937042984077,0.43199610309920655,1.0
1144,12.36767353470694,family,quark,1,15.365317804327434,1.1102230246251565e-16,1.0
1145,12.377435487097419,family,lepton,3,121.74088264144558,0.613697590164998,1.0
1145,12.377435487097419,family,meson,17,103.44026168481807,0.8211976848779683,0.6470588235294118
1145,12.377435487097419,family,baryon,7,140.07626392660558,0.8018010015316572,0.8571428571428571
1145,12.377435487097419,family,boson,3,225.8180213942403,0.4337437107999912,1.0
1145,12.377435487097419,family,quark,1,15.24759993338142,0.0,1.0
1146,12.387197439487895,family,lepton,3,120.9148350287072,0.587297548185489,0.6666666666666666
1146,12.387197439487895,family,meson,17,102.58951071141516,0.8198635616125963,0.6470588235294118
1146,12.387197439487895,family,baryon,7,140.73269881292484,0.7889187813258471,0.8571428571428571
1146,12.387197439487895,family,boson,3,225.74340295978806,0.4354885823347362,1.0
1146,12.387197439487895,family,quark,1,15.130048593015447,0.0,1.0
1147,12.396959391878374,family,lepton,3,119.76678667443537,0.5606009398495742,1.0
1147,12.396959391878374,family,meson,17,101.74108369099471,0.81853295493057,0.6470588235294118
1147,12.396959391878374,family,baryon,7,140.8812261259015,0.7754973355361909,1.0
1147,12.396959391878374,family,boson,3,225.66985340693267,0.4372306740869245,1.0
1147,12.396959391878374,family,quark,1,15.012663393649479,1.1102230246251565e-16,1.0
1148,12.406721344268853,family,lepton,3,118.35066141400185,0.5337881774703,0.6666666666666666
1148,12.406721344268853,family,meson,17,100.89493883527285,0.817206129311276,0.6470588235294118
1148,12.406721344268853,family,baryon,7,140.5950425175326,0.7617665699321748,1.0
1148,12.406721344268853,family,boson,3,225.59737717005427,0.4389699423756134,1.0
1148,12.406721344268853,family,quark,1,14.895443946964289,0.0,1.0
1149,12.416483296659331,family,lepton,3,116.71062595828039,0.5070099260778645,0.6666666666666666
1149,12.416483296659331,family,meson,17,100.05103537268968,0.815883348129578,0.6470588235294118
1149,12.416483296659331,family,baryon,7,139.94072354704375,0.7479204063258862,1.0
1149,12.416483296659331,family,boson,3,225.525978705666,0.44070634345332893,1.0
1149,12.416483296659331,family,quark,1,14.77838986589638,0.0,1.0
1150,12.426245249049808,family,lepton,3,114.88281465828481,0.48039382378556594,0.6666666666666666
1150,12.426245249049808,family,meson,17,99.20933352235272,0.814564873608952,0.6470588235294118
1150,12.426245249049808,family,baryon,7,138.97640689485652,0.7341228298265755,1.0
1150,12.426245249049808,family,boson,3,225.4556624920323,0.4424398335039771,0.6666666666666666
1150,12.426245249049808,family,quark,1,14.661500764632603,0.0,1.0
1151,12.436007201440287,family,lepton,3,112.89684585506765,0.4540495359616966,0.6666666666666666
1151,12.436007201440287,family,meson,17,98.36979446833078,0.8132509667750164,0.6470588235294118
1151,12.436007201440287,family,baryon,7,137.75171834080328,0.7205134118022402,0.8571428571428571
1151,12.436007201440287,family,boson,3,225.38643302877122,0.4441703686407589,0.6666666666666666
1151,12.436007201440287,family,quark,1,14.544776258605472,0.0,1.0
1152,12.445769153830765,family,lepton,3,110.7770874661792,0.4280725421320358,0.6666666666666666
1152,12.445769153830765,family,meson,17,97.53238033431326,0.811941887409444,0.7058823529411765
1152,12.445769153830765,family,baryon,7,136.30850716801905,0.7072119365856726,0.8571428571428571
1152,12.445769153830765,family,boson,3,225.31829483643858,0.44589790490410053,0.6666666666666666
1152,12.445769153830765,family,quark,1,14.428215964487688,0.0,1.0
1153,12.455531106221242,family,lepton,3,108.54368507612497,0.40254697523132776,0.6666666666666666
1153,12.455531106221242,family,meson,17,96.69705415865086,0.8106378940042884,0.7647058823529411
1153,12.455531106221242,family,baryon,7,134.6818729995891,0.6943221036243216,0.8571428571428571
1153,12.455531106221242,family,boson,3,225.25125245609536,0.4476223982596028,0.6666666666666666
1153,12.455531106221242,family,quark,1,14.311819500186978,0.0,1.0
1154,12.46529305861172,family,lepton,3,106.21338547812195,0.37754775724543743,0.6666666666666666
1154,12.46529305861172,family,meson,17,95.8637798697959,0.8093392437167433,0.7647058823529411
1154,12.46529305861172,family,baryon,7,132.9012226446835,0.681934414745273,1.0
1154,12.46529305861172,family,boson,3,225.1853104488573,0.44934380459600654,0.6666666666666666
1154,12.46529305861172,family,quark,1,14.19558648484136,0.0,1.0
1155,12.4750550110022,family,lepton,3,103.80019207287232,0.35314221317029193,0.6666666666666666
1155,12.4750550110022,family,meson,17,95.03252226214508,0.808046192324366,0.7647058823529411
1155,12.4750550110022,family,baryon,7,130.99123991690772,0.6701283935427542,1.0
1155,12.4750550110022,family,boson,3,225.12047339542548,0.4510620797231588,0.6666666666666666
1155,12.4750550110022,family,quark,1,14.079516538813788,0.0,1.0
1156,12.484816963392678,family,lepton,3,101.31588541721877,0.3293912973963411,0.6666666666666666
1156,12.484816963392678,family,meson,17,94.2032469723061,0.806758994180754,0.7647058823529411
1156,12.484816963392678,family,baryon,7,128.97272704491346,0.6589742778853305,0.8571428571428571
1156,12.484816963392678,family,boson,3,225.05674589559882,0.4527771793700154,0.6666666666666666
1156,12.484816963392678,family,quark,1,13.96360928368745,0.0,1.0
1157,12.494578915783155,family,lepton,3,98.77043702109444,0.30635053099002285,1.0
1157,12.494578915783155,family,meson,17,93.37592045577796,0.8054779021717271,0.7647058823529411
1157,12.494578915783155,family,baryon,7,126.86331311750602,0.6485343053663155,0.7142857142857143
1157,12.494578915783155,family,boson,3,224.99413256776697,0.4544890591826529,0.3333333333333333
1157,12.494578915783155,family,quark,1,13.84786434226039,0.0,1.0
1158,12.504340868173633,family,lepton,3,96.17233916421074,0.28407072220674645,1.0
1158,12.504340868173633,family,meson,17,92.55050996407411,0.8042031676720078,0.8235294117647058
1158,12.504340868173633,family,baryon,7,124.67804110270059,0.6388636877807699,0.8571428571428571
1158,12.504340868173633,family,boson,3,224.93263804838364,0.4561976747222898,0.3333333333333333
1158,12.504340868173633,family,quark,1,13.732281338540899,1.1102230246251565e-16,1.0
1159,12.514102820564112,family,lepton,3,93.52886878862202,0.26259852353647617,1.0
1159,12.514102820564112,family,meson,17,91.72698352226872,0.8029350405024285,0.8235294117647058
1159,12.514102820564112,family,baryon,7,122.42985058022438,0.6300113493310253,0.8571428571428571
1159,12.514102820564112,family,boson,3,224.8722669914201,0.4579029814633462,0.3333333333333333
1159,12.514102820564112,family,quark,1,13.616859897742364,1.1102230246251565e-16,1.0
1160,12.523864772954589,family,lepton,3,90.8462996189677,0.24197686474452484,1.0
1160,12.523864772954589,family,meson,17,90.90530990698518,0.8016737688876704,0.8235294117647058
1160,12.523864772954589,family,baryon,7,120.12997394140905,0.6220204856585717,0.8571428571428571
1160,12.523864772954589,family,boson,3,224.8130240677976,0.45960493479150744,0.3333333333333333
1160,12.523864772954589,family,quark,1,13.50159964627835,1.1102230246251565e-16,1.0
1161,12.533626725345067,family,lepton,3,88.13007354016315,0.2222452912921944,1.0
1161,12.533626725345067,family,meson,17,90.08545862482488,0.8004195994145669,0.8235294117647058
1161,12.533626725345067,family,baryon,7,117.78826229621022,0.6149289869347218,1.0
1161,12.533626725345067,family,boson,3,224.75491396479933,0.4613034900018179,0.3333333333333333
1161,12.533626725345067,family,quark,1,13.386500211757937,0.0,1.0
1162,12.543388677735546,family,lepton,3,85.38493981318703,0.20344023015501556,1.0
