name,family,dominant_interaction,compton_frequency_hz,lifetime_s,compton_cycles,log10_N,base,theta_rad,cylindrical_x,cylindrical_y,cylindrical_z,radial_x,radial_y,radial_z,conical_x,conical_y,conical_z,toroidal_x,toroidal_y,toroidal_z,spherical_x,spherical_y,spherical_z,landscape_x,landscape_y,landscape_z
phi_1020,meson,strong,2.4650457307251326e+23,1.55e-22,38.208208826239556,1.582156678747984,10.0,3.657798290385799,-0.8696982717933062,-0.4935837477467594,1.582156678747984,-0.05488013238098264,-0.03114636684466295,1.582156678747984,-1.3759989292133588,-0.7809268230189955,1.582156678747984,-1.1745459601242156,-0.66659531897599,0.1467476852972254,-0.1712839447853048,-0.09720954282414897,0.980414256854063,23.39182498057769,-21.80966830182971,3.657798290385799
D0,meson,weak,4.509163058209639e+23,4.103e-13,185010960278.34146,11.267197457307917,10.0,1.678851137872839,-0.10784466197838848,0.9941677569116628,11.267197457307917,-0.04639479493697194,0.4276911658743853,11.267197457307917,-1.2151071012271304,11.201484422812603,11.267197457307917,-0.07074205104490092,0.6521367392364136,0.1613635002407655,-0.10526218868781968,0.9703611852050025,0.21752940463347176,23.654095940341005,-12.386898483033088,1.678851137872839
D_plus,meson,weak,4.5208177663564874e+23,1.033e-12,467000475264.6251,11.669317322546195,10.0,4.205444766863025,-0.4855080509114021,-0.8742321959869765,11.669317322546195,-0.2162656674037157,-0.38941972017976123,11.669317322546195,-5.665547508736065,-10.201692908558426,11.669317322546195,-0.3117491983280655,-0.5613525578822149,0.12772702614699702,-0.47839395169816984,-0.8614221621142567,0.1705610905130718,23.655217001026575,-11.98589967848038,4.205444766863025
Ds_plus,meson,weak,4.759449124657848e+23,5.012e-13,238543590127.85135,11.377567751184174,10.0,2.3723281467052257,-0.7184224780632787,0.6956070320327546,11.377567751184174,-0.3120709617961602,0.30216030559599755,11.377567751184174,-8.17390041813858,7.914316135152806,11.377567751184174,-0.4682967395341167,0.45342471184378885,0.15226568462109433,-0.7032122522999551,0.6808798480667182,0.20468307382846065,23.67755668886206,-12.299988937677888,2.3723281467052257
J_psi,meson,mixed,7.488270883812783e+23,7.080000000000001e-21,5301.695785739452,3.7244148040524654,10.0,4.551632453125826,-0.16006502530200015,-0.9871064723093806,3.7244148040524654,-0.023097662512597733,-0.14244118675135753,3.7244148040524654,-0.5961485498458018,-3.6763939586450625,3.7244148040524654,-0.19755541545849473,-1.2183063031472374,0.2992342040383422,-0.07010338638201867,-0.43232121631777376,0.8989904788924598,23.874381546362695,-20.14996674231023,4.551632453125826
B_plus,meson,weak,1.2765556584555537e+24,1.638e-12,2090998168550.197,12.320353652430827,10.0,2.0128413620546857,-0.42778882215381325,0.9038787106909052,12.320353652430827,-0.20111147629861123,0.42493018164128976,12.320353652430827,-5.270509577491814,11.13610537461516,12.320353652430827,-0.2680857979734218,0.5664408064866007,0.07092675710790611,-0.4259052489531399,0.8998988925471193,0.0937374103900473,24.106039755006428,-11.7856861025756,2.0128413620546857
B0,meson,weak,1.2766306161220584e+24,1.517e-12,1936648644657.1626,12.287050836244319,10.0,1.803593596703907,-0.23070023576200008,0.973024871840056,12.287050836244319,-0.10816525672982955,0.45620883186121586,12.287050836244319,-2.8346255247412446,11.955606065228881,12.287050836244319,-0.14470722270248979,0.610331958956815,0.07388540213883012,-0.22959688908629075,0.9683712842345593,0.09768482170638342,24.106065255457587,-11.81901441921327,1.803593596703907
Bs0,meson,weak,1.297717900302281e+24,1.516e-12,1967340336858.258,12.293879496489762,10.0,1.8464993344258058,-0.2722234620565699,0.9622340602503817,12.293879496489762,-0.12770414235287159,0.4513985476441439,12.293879496489762,-3.3466824386407232,11.829589584136261,12.293879496489762,-0.17072018061373753,0.6034482528346442,0.0732791119854386,-0.2709430599926438,0.9577081958468626,0.09687553793177052,24.11318029519373,-11.819300798703965,1.8464993344258058
Upsilon_1S,meson,mixed,2.2875145425820157e+24,1.2190000000000001e-20,27884.802274074773,4.445367569337434,10.0,2.798326967955252,-0.9416605763633646,0.33656404876786217,4.445367569337434,-0.16161573090136844,0.0577639609240182,4.445367569337434,-4.186027387489298,1.4961509073975572,4.445367569337434,-1.110829647641578,0.3970276903228466,0.3348521664448016,-0.48348449935224386,0.17280483509984268,0.8581265803203081,24.359363863719054,-19.91399629438162,2.798326967955252
W,boson,weak,1.9433186099497117e+25,3.16e-25,6.140886807441088,0.7882310922760309,10.0,4.952602017650873,0.23790955221821986,-0.9712873132926869,0.7882310922760309,0.007853364854196802,-0.03206207392019066,0.7882310922760309,0.18752770620786885,-0.7655988598705461,0.7882310922760309,0.3263776201657467,-1.3324662202670978,0.07825086651534056,0.024627874743472392,-0.10054553114267177,0.9946276006389818,25.288544009657627,-24.500312917381596,4.952602017650873
