base,top_k,area,perimeter,symmetry_score,compactness,midpoint_angles_deg
2.6292887029288705,6,2.0458644805502604,5.627194441984306,0.03656792883385071,0.8119006373946153,"[25.428021272215986, 60.780192068875465, 84.91842709781643, 139.4337862170203, 201.17942911545074, 338.47288702665975]"
2.8334728033472802,3,0.6193579897841319,4.400049472141665,0.018155683692367634,0.4020096603695209,"[32.95503976992606, 147.97786010034758, 349.09661604565946]"
2.8334728033472802,4,0.9915351625258124,4.6269190710719394,0.0176805339069227,0.5820149995908992,"[32.95503976992606, 102.40720343364032, 147.97786010034758, 349.09661604565946]"
2.8334728033472802,5,1.6449180705708295,5.308695817578758,0.027090415937861018,0.7334634091881245,"[32.95503976992606, 102.40720343364032, 147.97786010034758, 309.7614191912972, 349.09661604565946]"
2.8334728033472802,6,2.1415659302241012,5.698915102465413,0.036609638463852824,0.8286229137547125,"[32.95503976992606, 102.40720343364032, 147.97786010034758, 277.4713294961377, 309.7614191912972, 349.09661604565946]"
3.03765690376569,3,0.38702541625570575,3.662379160778777,0.012119617928558046,0.36259577729065867,"[36.72621496287852, 278.9924928143838, 323.5969953645463]"
3.03765690376569,4,1.1303351865929037,4.814039151243719,0.01950023947031752,0.6129116484408508,"[36.72621496287852, 88.4296497762601, 278.9924928143838, 323.5969953645463]"
3.03765690376569,5,1.5395850554446946,5.222824144995105,0.025429404576668552,0.7092555525884294,"[36.72621496287852, 88.4296497762601, 112.31032677005943, 278.9924928143838, 323.5969953645463]"
3.03765690376569,6,1.9836263509432175,5.587290841170325,0.0315107209591462,0.7984857600467112,"[36.72621496287852, 88.4296497762601, 112.31032677005943, 139.9160202329175, 278.9924928143838, 323.5969953645463]"
3.2418410041841,3,1.2641112585150465,5.160778908701335,0.08174270689714201,0.5964371074260033,"[130.78259716809438, 234.94074800844098, 353.93233624649963]"
3.2418410041841,4,1.6258060435015684,5.385977608176747,0.03174179358077471,0.7042867380394013,"[130.78259716809438, 234.94074800844098, 272.469605936613, 353.93233624649963]"
3.2418410041841,5,1.8607385071401092,5.525330829649148,0.03084330528436087,0.7659115806846438,"[130.78259716809438, 207.0244726881225, 234.94074800844098, 272.469605936613, 353.93233624649963]"
3.2418410041841,6,2.4448017383673224,5.91214214570344,0.052124175926813676,0.8789492000228639,"[67.62077041003047, 130.78259716809438, 207.0244726881225, 234.94074800844098, 272.469605936613, 353.93233624649963]"
3.4460251046025103,3,1.1141914973542706,4.982343405293152,0.03173793491898429,0.5640302394031951,"[18.756939286738746, 118.54208732415312, 212.99488509736037]"
3.4460251046025103,4,1.6346685477177292,5.401224054298897,0.03407498564114481,0.70413378768715,"[18.756939286738746, 118.54208732415312, 212.99488509736037, 246.300803137571]"
3.4460251046025103,5,1.847900605344284,5.523152451957947,0.027550855406228356,0.7612273961008941,"[18.756939286738746, 118.54208732415312, 179.93393428398582, 212.99488509736037, 246.300803137571]"
3.4460251046025103,6,2.1175757327177944,5.679206095217907,0.039038109767237844,0.8250372493322581,"[18.756939286738746, 73.22436895816459, 118.54208732415312, 179.93393428398582, 212.99488509736037, 246.300803137571]"
3.6502092050209205,3,0.5956972466497501,4.131273710094408,0.014497505472126295,0.43859887979648243,"[106.87970238268385, 180.96035443323802, 244.91362658888724]"
3.6502092050209205,4,1.5300042162692202,5.251049578736375,0.027397602933174135,0.6972848897378658,"[45.91271358486374, 106.87970238268385, 180.96035443323802, 244.91362658888724]"
3.6502092050209205,5,2.323239931249452,5.843066641405658,0.09154520008738903,0.8551105183351648,"[45.91271358486374, 106.87970238268385, 180.96035443323802, 244.91362658888724, 339.6418885787579]"
3.6502092050209205,6,2.392802062947454,5.8797662223955225,0.04836134731912832,0.8697541716372996,"[45.91271358486374, 73.70889576716579, 106.87970238268385, 180.96035443323802, 244.91362658888724, 339.6418885787579]"
3.8543933054393307,3,1.244749221900407,5.1382585698296115,0.05932899856938344,0.5924610678328088,"[54.73975187954671, 165.65985070933863, 270.95700590085306]"
3.8543933054393307,4,1.4966700094465963,5.2880005094527025,0.026074652185243876,0.6725939301021052,"[54.73975187954671, 165.65985070933863, 195.76837179229074, 270.95700590085306]"
3.8543933054393307,5,1.6189611433912727,5.35442207049484,0.02208425065844814,0.7096122190792085,"[54.73975187954671, 165.65985070933863, 195.76837179229074, 240.23966011794636, 270.95700590085306]"
3.8543933054393307,6,2.0151850445686255,5.635860188099729,0.02749310824938327,0.7972680748143003,"[54.73975187954671, 165.65985070933863, 195.76837179229074, 240.23966011794636, 270.95700590085306, 299.54159558926517]"
4.058577405857741,3,0.4623534406539275,3.8129718776321466,0.012708591921901888,0.39962877660879625,"[169.52781914962895, 234.40291089580265, 292.99743394110624]"
4.058577405857741,4,1.477262114240471,5.197059144310112,0.025800078472646662,0.6873091182654545,"[4.008675084993359, 169.52781914962895, 234.40291089580265, 292.99743394110624]"
4.058577405857741,5,1.9284960266251452,5.56387842257363,0.036902487179990395,0.7828406147146197,"[4.008675084993359, 32.2817079510436, 169.52781914962895, 234.40291089580265, 292.99743394110624]"
4.058577405857741,6,1.9910861647624656,5.596759318566861,0.031206946088186666,0.7987790329275243,"[4.008675084993359, 32.2817079510436, 169.52781914962895, 234.40291089580265, 263.74309512081203, 292.99743394110624]"
4.26276150627615,3,0.2246493989708358,3.0444352891159223,0.010144236310663992,0.30458017391483255,"[54.98067831591803, 108.8514275181815, 148.6134605123318]"
4.26276150627615,4,1.0706242430368078,4.73941982042864,0.01873215024084503,0.5989582846839436,"[54.98067831591803, 108.8514275181815, 148.6134605123318, 343.38176923745857]"
4.26276150627615,5,1.1727559917124315,4.794515533379267,0.019957162553265486,0.6411033769429142,"[9.46934309106411, 54.98067831591803, 108.8514275181815, 148.6134605123318, 343.38176923745857]"
4.26276150627615,6,1.89752084770135,5.5005144373956485,0.03213745089371401,0.7881153790367939,"[9.46934309106411, 54.98067831591803, 108.8514275181815, 148.6134605123318, 298.96249463210984, 343.38176923745857]"
4.46694560669456,3,0.47817013203647457,3.9397045865693516,0.013488355789638192,0.3871372788946892,"[90.61864382887555, 137.0768092142383, 220.91161286129787]"
4.46694560669456,4,1.0918103570562965,4.796157331389371,0.019603566439076632,0.5964447656318616,"[50.9338650986925, 90.61864382887555, 137.0768092142383, 220.91161286129787]"
4.46694560669456,5,1.614443039328109,5.304069646316219,0.02465120830263653,0.7211309823885865,"[50.9338650986925, 90.61864382887555, 137.0768092142383, 220.91161286129787, 251.85376164228904]"
4.46694560669456,6,2.2343399489576634,5.772850422825119,0.036544875061129446,0.8425166744205375,"[7.1098119106370845, 50.9338650986925, 90.61864382887555, 137.0768092142383, 220.91161286129787, 251.85376164228904]"
4.6711297071129705,3,0.3154436246128935,3.3834786812007196,0.011080782149721408,0.34626191740738443,"[29.365470029652172, 283.2349755151212, 330.88989002535027]"
4.6711297071129705,4,1.0990287489974158,4.756910143410869,0.01875509908406233,0.6103360483423143,"[29.365470029652172, 88.59730908447274, 283.2349755151212, 330.88989002535027]"
4.6711297071129705,5,2.2109755573165857,5.771649484444867,0.047047606113129234,0.8340534994776844,"[29.365470029652172, 88.59730908447274, 192.35605056812926, 283.2349755151212, 330.88989002535027]"
4.6711297071129705,6,2.2454017894612495,5.7894331127222385,0.0386410377581327,0.8418444381153354,"[29.365470029652172, 88.59730908447274, 192.35605056812926, 283.2349755151212, 307.3959651243154, 330.88989002535027]"
4.875313807531381,3,1.0444228595212053,4.962584402119054,0.02920633654436605,0.5329303091520045,"[67.02996581754897, 214.17520455335838, 284.31648663536765]"
4.875313807531381,4,1.5174989623167345,5.301440834891213,0.025843309292679174,0.6785009012609555,"[67.02996581754897, 179.70595627912397, 214.17520455335838, 284.31648663536765]"
4.875313807531381,5,1.7867348724795575,5.466480357408921,0.02901000764456255,0.7513709395311455,"[67.02996581754897, 94.74227788759522, 179.70595627912397, 214.17520455335838, 284.31648663536765]"
4.875313807531381,6,2.2762305203602837,5.806837262600682,0.03627019123339859,0.8482947830465778,"[28.924075999105327, 67.02996581754897, 94.74227788759522, 179.70595627912397, 214.17520455335838, 284.31648663536765]"
5.079497907949791,3,0.8285249147441873,4.571014979937862,0.018890378442811443,0.4982991514864653,"[8.4769599118124, 206.38246280002008, 281.34336581904154]"
5.079497907949791,4,0.9531342371224265,4.638613496852036,0.01819745096871387,0.5566568520974143,"[8.4769599118124, 206.38246280002008, 247.15948716795225, 281.34336581904154]"
5.079497907949791,5,2.057042772075768,5.674434043638588,0.0349459261509091,0.8028013263125554,"[8.4769599118124, 123.29577828857688, 206.38246280002008, 247.15948716795225, 281.34336581904154]"
5.079497907949791,6,2.2199654587462994,5.765872584388481,0.03708029606027284,0.8391237227546015,"[8.4769599118124, 123.29577828857688, 206.38246280002008, 247.15948716795225, 281.34336581904154, 308.8486815582339]"
5.283682008368201,3,0.9759261916681845,4.8778246536149945,0.027114315838013724,0.5154356686950117,"[89.27000175346684, 155.44867227713794, 284.1217547440807]"
5.283682008368201,4,1.3733268346734935,5.136561280305003,0.024826036010822335,0.6540919779720447,"[89.27000175346684, 155.44867227713794, 190.70941611957238, 284.1217547440807]"
5.283682008368201,5,2.124817600210009,5.717079855473045,0.040337809847606376,0.8169265338217679,"[89.27000175346684, 155.44867227713794, 190.70941611957238, 284.1217547440807, 339.20574795898074]"
5.283682008368201,6,2.349223640680951,5.844613432049276,0.050638958736892364,0.864216677425477,"[89.27000175346684, 155.44867227713794, 190.70941611957238, 231.16488572072404, 284.1217547440807, 339.20574795898074]"
5.487866108786611,3,0.5816642469423929,4.48861308524185,0.01761504016425303,0.3627921585364696,"[162.63288210499292, 300.6498315054395, 336.99532796680916]"
5.487866108786611,4,1.6226471860385572,5.383146435524022,0.03356465217008279,0.7036579150512543,"[63.06333587112271, 162.63288210499292, 300.6498315054395, 336.99532796680916]"
5.487866108786611,5,1.7722192473303617,5.466982113908349,0.02601822434563986,0.7451299276473334,"[38.20147974632058, 63.06333587112271, 162.63288210499292, 300.6498315054395, 336.99532796680916]"
5.487866108786611,6,2.039907434384182,5.621798356271102,0.03648609644914796,0.8110913995660191,"[38.20147974632058, 63.06333587112271, 117.83792932076909, 162.63288210499292, 300.6498315054395, 336.99532796680916]"
5.692050209205021,3,0.4463516472472957,3.8744112675310434,0.013160200123695766,0.37365910375283745,"[222.42231317184977, 266.19445798038373, 349.9422835445528]"
5.692050209205021,4,1.6313831269661794,5.372826549202582,0.03526564784365107,0.7101665120231668,"[77.7098997527932, 222.42231317184977, 266.19445798038373, 349.9422835445528]"
5.692050209205021,5,1.807534745316469,5.471672133666963,0.02874877103870704,0.7586760698167141,"[46.700346088871505, 77.7098997527932, 222.42231317184977, 266.19445798038373, 349.9422835445528]"
