base_index,base,circular_mean_rad,circular_mean_deg,circular_variance,resultant_length_R,entropy_bits,largest_gap_deg,largest_gap_from,largest_gap_to,top_3_gap_sum_deg,top_5_gap_sum_deg,gap_distribution_deg,cluster_count,mean_cluster_density,isolated_points,top4_symmetry_score
2371,24.345589117823565,5.475287664908043,313.7108748192706,0.7550855679785766,0.2449144320214234,3.3855127464162083,65.5505788439224,Ds_plus,K_long,117.02881200050486,162.53472253954283,"[65.550578843922, 26.336841216, 25.141391940582, 23.27541060812, 22.230499930918, 17.847942135788, 16.580324374914, 16.538879732308, 16.19605449106, 15.408169941791, 10.188112710172, 10.151079873164, 10.073913480847, 9.39998653117, 7.623487193941, 7.120118597124, 6.885368850159, 6.883050172403, 6.874319584339, 6.069895527438, 6.033264132224, 5.196708166901, 5.167585799874, 4.798073712373, 4.135662919711, 3.218648185804, 2.286348563027, 1.773140301982, 0.559918323545, 0.429584862708, 0.025639295691]",1,31.0,0,0.016693515919767442
2372,24.35535107021404,5.465229481678862,313.13458337066925,0.7544434815101676,0.24555651848983243,3.3611615366689995,65.206360599167,Upsilon_1S,K_long,116.40691229735454,162.37655107612989,"[65.206360599167, 26.469143093632, 24.731408604556, 23.515915476238, 22.453723302538, 16.717614821769, 16.57834883323, 16.242255018027, 16.082786295709, 15.858264666757, 11.654751575642, 9.720480266807, 9.353603290561, 9.028969628195, 7.289012399988, 7.260906414624, 7.119224568467, 6.929707240783, 6.873456419123, 6.114336311935, 6.032506573068, 5.483357541112, 5.286461535288, 4.88787713479, 4.225549516899, 3.1730410971, 2.512076196707, 1.772917659869, 1.157863824532, 0.200378639812, 0.067701453073]",1,31.0,0,0.016663138555977834
2373,24.36511302260452,5.455163417234137,312.55784036167984,0.7538241991066934,0.24617580089330662,3.3611615366689995,64.83674408681198,Upsilon_1S,K_long,115.75979528555393,161.63330666550152,"[64.836744086812, 26.601358753016, 24.321692445726, 23.196710175593, 22.676801204355, 16.896233433471, 16.531089130892, 16.308066074809, 15.878783386444, 14.318780769186, 13.234559472737, 9.307250276898, 8.860856361198, 7.694710070846, 7.311028497493, 7.118331122428, 6.974016737045, 6.898561921293, 6.872593816413, 6.158748135343, 6.031749507597, 5.798923500794, 5.376156413364, 4.977622034276, 4.315377536952, 3.127463729542, 2.874526531452, 2.737656728614, 1.772695162849, 0.564663698208, 0.426249284356]",1,31.0,0,0.016669901809239378
2374,24.374874974995,5.445091116097308,311.9807400165547,0.7532279557852576,0.24677204421474241,3.3611615366689995,64.46736833736801,Upsilon_1S,K_long,115.11309979652158,160.89054639365452,"[64.467368337368, 26.733488289009, 23.912243170144, 22.899733796418, 22.877712800715, 17.074735695564, 16.757574488655, 16.483860212849, 15.515548515085, 14.813338305555, 12.555924290641, 9.260927456925, 8.100143476041, 8.001792402309, 7.117438258368, 7.018297370735, 6.871731775589, 6.536453453982, 6.203131029522, 6.114283905323, 6.030992935268, 5.594206409076, 5.465792865478, 5.067308475217, 4.590071028835, 4.405147044317, 3.08191605043, 2.963090320587, 1.772472810759, 1.061302229244, 0.651972799993]",1,31.0,0,0.01238101066030209
2375,24.384636927385476,5.435014225624791,311.4033767218639,0.7526549742317103,0.24734502576828965,3.333588860144053,64.09823308606063,Upsilon_1S,K_long,114.46682536669653,160.14826972816786,"[64.098233086061, 26.865531796326, 23.50306048431, 23.122521238526, 22.558923122945, 17.253121736, 17.206790230509, 16.436662045246, 16.391089205791, 15.152550143577, 10.79421559643, 9.214634797437, 8.505312906195, 7.143287774351, 7.116545975645, 7.062549173593, 6.870870296035, 6.429438980752, 6.304498546401, 6.247485026291, 6.17458075313, 6.030236855538, 5.555370955884, 5.156936521902, 4.494858103343, 3.878502132306, 3.188377134221, 3.036398027113, 1.772250603441, 1.557617402176, 0.877549348523]",1,31.0,0,0.0123886016786234
2376,24.394398879775952,5.424934396113247,310.825845032641,0.7521054646721457,0.2478945353278543,3.317775150606212,63.72933806852451,Upsilon_1S,K_long,114.071991128291,159.40647613743914,"[63.729338068525, 26.997489369531, 23.345163690235, 23.094144095177, 22.240340913971, 17.967813303396, 17.655713622092, 17.431391682535, 16.38949459428, 14.789788011949, 9.168372265282, 9.033653424857, 8.910218651482, 8.017810311989, 7.115654273621, 7.106772177312, 6.870009377133, 6.74438895279, 6.291810157412, 6.285341862482, 6.029481267866, 5.81294355957, 5.644890748735, 5.246506238522, 4.584510778278, 3.413517330861, 2.990909626994, 2.163914438431, 2.053609572456, 1.772028540736, 1.1029790915]",1,31.0,0,0.012396197061692421
2377,24.404160832166433,5.4148532809288445,310.2482396797895,0.7515796247479671,0.24842037525203292,3.317775150606212,63.360683020798376,Upsilon_1S,K_long,114.05770543470163,158.66516509068344,"[63.360683020798, 27.129361103047, 23.567661310856, 22.685493710147, 21.921965945834, 19.54351172658, 18.104344984624, 17.60954566273, 16.342357826202, 14.42726186063, 9.73000755155, 9.314861001628, 9.122139827354, 7.274236516167, 7.150966413536, 7.114763151658, 7.059134046796, 6.869149018267, 6.336106454603, 6.028726171711, 5.734352308087, 5.451541614534, 5.427954052804, 5.336017689166, 4.674105133272, 3.638511071606, 2.945450817524, 2.549279094987, 1.771806622485, 1.328262190228, 0.450442100588]",1,31.0,0,0.012403796813883672
2378,24.41392278455691,5.404772536656326,309.6706555786235,0.7510776393943712,0.24892236060562878,3.317775150606212,62.992267679327064,Upsilon_1S,K_long,114.0434290299315,157.92433605792812,"[62.992267679327, 27.261147091149, 23.790014259455, 22.277109037072, 21.603797990925, 21.118185601831, 18.55268463884, 17.787583803948, 16.295251707313, 14.064971430444, 10.179175382948, 9.719240245917, 9.075937450604, 7.373674487785, 7.195131913859, 7.113872609119, 6.868289218822, 6.38037394953, 6.027971566533, 5.823755697897, 5.515963612528, 5.090374659653, 4.763641232379, 4.571123732362, 4.163554831629, 3.863358517306, 3.044626324129, 2.900021566202, 1.771584848529, 1.553398805765, 1.261916106199]",1,31.0,0,0.012411400939576952
2379,24.423684736947386,5.394693823266646,309.09318783847283,0.7505996807221846,0.2494003192778153,3.317775150606212,62.62409178096061,Upsilon_1S,K_long,114.02916190378336,158.58998774193083,"[62.624091780961, 27.39284742797, 24.012222694852, 22.691836053895, 21.868989784252, 21.285836821984, 19.000732904976, 17.965506233358, 16.248176203966, 13.702916462618, 10.177901941939, 10.123356673187, 9.029765102029, 7.688010500425, 7.239268709827, 7.112982645368, 6.867429978184, 6.424612673814, 6.027217451794, 5.913100982024, 4.85311913955, 4.729442436955, 4.088059828562, 3.758833458057, 3.714850289143, 3.539651613694, 2.973161405028, 2.854621840581, 2.541704643374, 1.77838909892, 1.77136321871]",1,31.0,0,0.019665378658595672
2380,24.433446689337867,5.384618804301148,308.51593177323554,0.7501459079028516,0.24985409209714843,3.256480488351692,62.25615506295162,Upsilon_1S,K_long,114.04508147625573,159.74050391231714,"[62.256155062952, 27.524462207497, 24.264464205807, 24.234286775626, 21.461135660435, 20.968082212098, 19.44849010278, 18.143313077934, 16.201131282565, 13.341096698773, 10.527210571835, 10.176629328204, 8.983622748679, 8.002142309042, 7.28337683294, 7.112093259769, 6.86657129574, 6.468822659027, 6.026463826955, 6.002388224228, 4.942538918642, 4.683295017122, 4.36874468886, 4.312615165734, 4.034355316959, 2.85913311207, 2.809251608261, 2.003233230257, 2.002844798777, 1.77114173287, 0.920908067562]",1,31.0,0,0.019711416385937906
