base_index,base,top_k,selected_gaps,midpoint_angles_deg,midpoint_x,midpoint_y,area,centroid_x,centroid_y,centroid_radius,side_lengths,angular_spacing_deg,symmetry_score
379,4.899779955991198,5,"[""W -> muon"", ""eta -> Lambda"", ""D_plus -> K_plus"", ""proton -> Omega_minus"", ""electron -> B0""]","[9.613346020467, 73.807534905614, 199.852124474967, 276.526210213802, 339.670089305561]","[0.985957164545, 0.278864816449, -0.940572214953, 0.113657715852, 0.937707692499]","[0.166998412218, 0.96033036719, -0.339593740312, -0.993519966396, -0.347425219909]",2.036597250859471,0.27512303487842715,-0.11064202944198578,0.296537253982965,"[1.062711239949, 1.782366224663, 1.240572551754, 1.047137424338, 0.51668141523]","[64.194188885147, 126.044589569352, 76.674085738836, 63.143879091758, 29.943256714907]",0.04083721164194522
379,4.899779955991198,6,"[""W -> muon"", ""eta -> Lambda"", ""D_plus -> K_plus"", ""proton -> Omega_minus"", ""electron -> B0"", ""Omega_minus -> top""]","[9.613346020467, 73.807534905614, 199.852124474967, 223.384807565173, 276.526210213802, 339.670089305561]","[0.985957164545, 0.278864816449, -0.940572214953, -0.726756832183, 0.113657715852, 0.937707692499]","[0.166998412218, 0.96033036719, -0.339593740312, -0.686894829559, -0.993519966396, -0.347425219909]",2.149755109335552,0.10814305703485279,-0.2066841627948719,0.2332665083869961,"[1.062711239949, 1.782366224663, 0.407841960202, 0.894603592151, 1.047137424338, 0.51668141523]","[64.194188885147, 126.044589569352, 23.532683090206, 53.14140264863, 63.143879091758, 29.943256714907]",0.03927593116517558
380,4.9095419083816765,3,"[""Ds_plus -> Omega_minus"", ""W -> muon"", ""omega_782 -> B0""]","[68.086346642525, 185.53341871698, 264.290638527949]","[0.37320887169, -0.995340125423, -0.099482329064]","[0.927747346044, -0.096426317583, -0.995039328973]",1.0736549484586135,-0.24053786093230625,-0.05457276683755241,0.24665086543978587,"[1.709344333588, 1.268883972449, 1.980036759481]","[117.447072074455, 78.75721981097, 163.795708114575]",0.033115720284265224
380,4.9095419083816765,4,"[""Ds_plus -> Omega_minus"", ""W -> muon"", ""omega_782 -> B0"", ""D_plus -> K_plus""]","[68.086346642525, 185.53341871698, 264.290638527949, 330.914489063352]","[0.37320887169, -0.995340125423, -0.099482329064, 0.873895180492]","[0.927747346044, -0.096426317583, -0.995039328973, -0.48611440373]",1.889171434022741,0.03807039942369678,-0.16245817606056023,0.1668592648947124,"[1.709344333588, 1.268883972449, 1.09839353405, 1.499897272247]","[117.447072074455, 78.75721981097, 66.623850535403, 97.171857579173]",0.05461656085848728
380,4.9095419083816765,5,"[""Ds_plus -> Omega_minus"", ""W -> muon"", ""omega_782 -> B0"", ""D_plus -> K_plus"", ""eta -> Lambda""]","[3.522146399928, 68.086346642525, 185.53341871698, 264.290638527949, 330.914489063352]","[0.998111126915, 0.37320887169, -0.995340125423, -0.099482329064, 0.873895180492]","[0.061434341609, 0.927747346044, -0.096426317583, -0.995039328973, -0.48611440373]",2.1140586017986673,0.23007854492190932,-0.11767967252661957,0.258427247323798,"[1.068176507061, 1.709344333588, 1.268883972449, 1.09839353405, 0.561461690472]","[64.564200242597, 117.447072074455, 78.75721981097, 66.623850535403, 32.607657336576]",0.04570025337748861
380,4.9095419083816765,6,"[""Ds_plus -> Omega_minus"", ""W -> muon"", ""omega_782 -> B0"", ""D_plus -> K_plus"", ""eta -> Lambda"", ""Omega_minus -> pi_plus""]","[3.522146399928, 68.086346642525, 185.53341871698, 214.446129613515, 264.290638527949, 330.914489063352]","[0.998111126915, 0.37320887169, -0.995340125423, -0.824658368265, -0.099482329064, 0.873895180492]","[0.061434341609, 0.927747346044, -0.096426317583, -0.565631130376, -0.995039328973, -0.48611440373]",2.2475405727188473,0.05428905939073888,-0.1923382488348333,0.1998532059647316,"[1.068176507061, 1.709344333588, 0.499284907217, 0.842776179572, 1.09839353405, 0.561461690472]","[64.564200242597, 117.447072074455, 28.912710896535, 49.844508914435, 66.623850535403, 32.607657336576]",0.04187889795595183
381,4.919303860772154,3,"[""Ds_plus -> electron"", ""muon -> proton"", ""omega_782 -> B0""]","[88.361183199127, 175.200772898632, 259.921426586766]","[0.028598849105, -0.996493987942, -0.174998544612]","[0.999590969262, 0.083664401009, -0.984568692059]",0.9237337971223449,-0.38096456114961724,0.0328955594037329,0.38238215790018887,"[1.374676981329, 1.34758179883, 1.994578015607]","[86.839589699505, 84.720653688134, 188.439756612361]",0.021447029167025965
381,4.919303860772154,4,"[""Ds_plus -> electron"", ""muon -> proton"", ""omega_782 -> B0"", ""tau -> Z""]","[25.652443483552, 88.361183199127, 175.200772898632, 259.921426586766]","[0.901436655648, 0.028598849105, -0.996493987942, -0.174998544612]","[0.432911025333, 0.999590969262, 0.083664401009, -0.984568692059]",1.8473458602594848,-0.06036425695028553,0.13289942588599293,0.14596609509741165,"[1.040659404119, 1.374676981329, 1.34758179883, 1.779876818652]","[62.708739715575, 86.839589699505, 84.720653688134, 125.731016896786]",0.05300678763763617
381,4.919303860772154,5,"[""Ds_plus -> electron"", ""muon -> proton"", ""omega_782 -> B0"", ""tau -> Z"", ""W -> muon""]","[25.652443483552, 62.390775277904, 88.361183199127, 175.200772898632, 259.921426586766]","[0.901436655648, 0.463438709462, 0.028598849105, -0.996493987942, -0.174998544612]","[0.432911025333, 0.886128976262, 0.999590969262, 0.083664401009, -0.984568692059]",1.9210364155544566,0.04439633633221036,0.28354533596129317,0.2869999864549219,"[0.63027669472, 0.449398851813, 1.374676981329, 1.34758179883, 1.779876818652]","[36.738331794353, 25.970407921222, 86.839589699505, 84.720653688134, 125.731016896786]",0.029836047238266578
381,4.919303860772154,6,"[""Ds_plus -> electron"", ""muon -> proton"", ""omega_782 -> B0"", ""tau -> Z"", ""W -> muon"", ""Higgs -> J_psi""]","[25.652443483552, 62.390775277904, 88.361183199127, 127.619297330279, 175.200772898632, 259.921426586766]","[0.901436655648, 0.463438709462, 0.028598849105, -0.610411973987, -0.996493987942, -0.174998544612]","[0.432911025333, 0.886128976262, 0.999590969262, 0.792084100341, 0.083664401009, -0.984568692059]",2.107323008205685,-0.06473838205435227,0.3683017966912528,0.37394822042232023,"[0.63027669472, 0.449398851813, 0.671858565978, 0.806794764423, 1.34758179883, 1.779876818652]","[36.738331794353, 25.970407921222, 39.258114131153, 47.581475568353, 84.720653688134, 125.731016896786]",0.03210215484884127
382,4.929065813162632,3,"[""electron -> Omega_minus"", ""tau -> Z"", ""muon -> D0""]","[21.817595952956, 79.454882261052, 170.247712914128]","[0.928371733319, 0.183009736032, -0.985549298318]","[0.371652962821, 0.983111100801, 0.169388844331]",0.6605212887906877,0.04194405701103687,0.5080509693178389,0.5097794536300387,"[0.964077570271, 1.42396422969, 1.924579042018]","[57.637286308096, 90.792830653076, 211.569883038828]",0.016116921511271476
382,4.929065813162632,4,"[""electron -> Omega_minus"", ""tau -> Z"", ""muon -> D0"", ""pi_plus -> top""]","[21.817595952956, 79.454882261052, 170.247712914128, 218.738903928454]","[0.928371733319, 0.183009736032, -0.985549298318, -0.780005686674]","[0.371652962821, 0.983111100801, 0.169388844331, -0.625772425692]",1.4422462766220205,-0.16354337891013654,0.22459512056531777,0.2778298129558707,"[0.964077570271, 1.42396422969, 0.821297523212, 1.978234266914]","[57.637286308096, 90.792830653076, 48.491191014325, 163.078692024502]",0.026360351412731683
382,4.929065813162632,5,"[""electron -> Omega_minus"", ""tau -> Z"", ""muon -> D0"", ""pi_plus -> top"", ""K_plus -> eta""]","[21.817595952956, 79.454882261052, 170.247712914128, 218.738903928454, 334.607809797873]","[0.928371733319, 0.183009736032, -0.985549298318, -0.780005686674, 0.903393751198]","[0.371652962821, 0.983111100801, 0.169388844331, -0.625772425692, -0.428811998778]",2.113537572807359,0.04984404711153907,0.09391369669665742,0.10632126532208451,"[0.964077570271, 1.42396422969, 0.821297523212, 1.694882614578, 0.800854577523]","[57.637286308096, 90.792830653076, 48.491191014325, 115.868905869419, 47.209786155083]",0.038366073917274104
382,4.929065813162632,6,"[""electron -> Omega_minus"", ""tau -> Z"", ""muon -> D0"", ""pi_plus -> top"", ""K_plus -> eta"", ""Delta_1232 -> J_psi""]","[21.817595952956, 79.454882261052, 125.456851036808, 170.247712914128, 218.738903928454, 334.607809797873]","[0.928371733319, 0.183009736032, -0.580089687639, -0.985549298318, -0.780005686674, 0.903393751198]","[0.371652962821, 0.983111100801, 0.8145526099, 0.169388844331, -0.625772425692, -0.428811998778]",2.3255277915982364,-0.05514490868025338,0.21402018223052077,0.22101040553634302,"[0.964077570271, 0.7814938869, 0.761993294127, 0.821297523212, 1.694882614578, 0.800854577523]","[57.637286308096, 46.001968775756, 44.79086187732, 48.491191014325, 115.868905869419, 47.209786155083]",0.050960688935759654
383,4.9388277655531105,3,"[""pi_plus -> top"", ""muon -> D0"", ""Upsilon_1S -> Omega_minus""]","[70.437063593411, 162.430706997987, 213.56226497615]","[0.334842099845, -0.953352582473, -0.833285523943]","[0.942274253162, 0.301858996042, -0.552842866995]",0.5889575855458075,-0.48393200219049115,0.230430127402956,0.5359927484202003,"[1.438602530619, 0.863094069741, 1.897339544847]","[91.993643404576, 51.131557978164, 216.87479861726]",0.015247807579621507
383,4.9388277655531105,4,"[""pi_plus -> top"", ""muon -> D0"", ""Upsilon_1S -> Omega_minus"", ""proton -> Z""]","[27.462459481998, 70.437063593411, 162.430706997987, 213.56226497615]","[0.887313183059, 0.334842099845, -0.953352582473, -0.833285523943]","[0.461167339661, 0.942274253162, 0.301858996042, -0.552842866995]",1.2829592108257415,-0.14112070587817488,0.28811443046749485,0.32081923051956107,"[0.732590035426, 1.438602530619, 0.863094069741, 1.997167146169]","[42.974604111413, 91.993643404576, 51.131557978164, 173.900194505847]",0.022754723738861962
383,4.9388277655531105,5,"[""pi_plus -> top"", ""muon -> D0"", ""Upsilon_1S -> Omega_minus"", ""proton -> Z"", ""tau -> proton""]","[8.419219606314, 27.462459481998, 70.437063593411, 162.430706997987, 213.56226497615]","[0.989223274424, 0.887313183059, 0.334842099845, -0.953352582473, -0.833285523943]","[0.146414867202, 0.461167339661, 0.942274253162, 0.301858996042, -0.552842866995]",1.605409495798193,0.08494809018227652,0.25977451781434013,0.27331113795688805,"[0.330839516445, 0.732590035426, 1.438602530619, 0.863094069741, 1.952050127164]","[19.043239875684, 42.974604111413, 91.993643404576, 51.131557978164, 154.856954630163]",0.023730287693057257
383,4.9388277655531105,6,"[""pi_plus -> top"", ""muon -> D0"", ""Upsilon_1S -> Omega_minus"", ""proton -> Z"", ""tau -> proton"", ""Omega_minus -> pi_plus""]","[8.419219606314, 27.462459481998, 70.437063593411, 162.430706997987, 186.836291398776, 213.56226497615]","[0.989223274424, 0.887313183059, 0.334842099845, -0.953352582473, -0.992890311328, -0.833285523943]","[0.146414867202, 0.461167339661, 0.942274253162, 0.301858996042, -0.119032893233, -0.552842866995]",1.6475736066065134,-0.09469164340272894,0.19663994930641318,0.2182516368633654,"[0.330839516445, 0.732590035426, 1.438602530619, 0.422744857403, 0.462238879251, 1.952050127164]","[19.043239875684, 42.974604111413, 91.993643404576, 24.405584400789, 26.725973577375, 154.856954630163]",0.023103474650131354
384,4.948589717943588,3,"[""tau -> Z"", ""pi_plus -> top"", ""W -> D0""]","[14.19901725173, 64.600583389517, 208.408619860616]","[0.969449557312, 0.42892593556, -0.879577007652]","[0.245290757729, 0.903339660263, -0.475756542372]",0.8032464999683538,0.1729328284065136,0.22429129187344432,0.28321784327781196,"[0.851583315829, 1.901075034952, 1.984643153548]","[50.401566137788, 143.808036471099, 165.790397391113]",0.021097511133747013
384,4.948589717943588,4,"[""tau -> Z"", ""pi_plus -> top"", ""W -> D0"", ""Upsilon_1S -> Omega_minus""]","[14.19901725173, 64.600583389517, 156.673391852295, 208.408619860616]","[0.969449557312, 0.42892593556, -0.918262591064, -0.879577007652]","[0.245290757729, 0.903339660263, 0.395971986197, -0.475756542372]",1.4002517432150676,-0.09986602646107892,0.26721146545430025,0.28526337043398964,"[0.851583315829, 1.439562045538, 0.87258650109, 1.984643153548]","[50.401566137788, 92.072808462777, 51.735228008322, 165.790397391113]",0.025042821392106236
384,4.948589717943588,5,"[""tau -> Z"", ""pi_plus -> top"", ""W -> D0"", ""Upsilon_1S -> Omega_minus"", ""rho_770 -> proton""]","[14.19901725173, 64.600583389517, 156.673391852295, 208.408619860616, 326.612295723536]","[0.969449557312, 0.42892593556, -0.918262591064, -0.879577007652, 0.834965977679]","[0.245290757729, 0.903339660263, 0.395971986197, -0.475756542372, -0.550301568341]",2.0873029051067817,0.08710037436687301,0.10370885869514564,0.13543264963331078,"[0.851583315829, 1.439562045538, 0.87258650109, 1.716162757271, 0.806878542591]","[50.401566137788, 92.072808462777, 51.735228008322, 118.20367586292, 47.586721528193]",0.03634963351951841
384,4.948589717943588,6,"[""tau -> Z"", ""pi_plus -> top"", ""W -> D0"", ""Upsilon_1S -> Omega_minus"", ""rho_770 -> proton"", ""Omega_minus -> pi_plus""]","[14.19901725173, 64.600583389517, 156.673391852295, 177.714795095273, 208.408619860616, 326.612295723536]","[0.969449557312, 0.42892593556, -0.918262591064, -0.999204724759, -0.879577007652, 0.834965977679]","[0.245290757729, 0.903339660263, 0.395971986197, 0.039873776098, -0.475756542372, -0.550301568341]",2.1294706221639594,-0.09395047548735656,0.09306967826222147,0.13224468554968025,"[0.851583315829, 1.439562045538, 0.365181549702, 0.529325434893, 1.716162757271, 0.806878542591]","[50.401566137788, 92.072808462777, 21.041403242978, 30.693824765343, 118.20367586292, 47.586721528193]",0.03216244717719824
