control,replicate,base,angular_entropy,circular_resultant_R,largest_angular_gap,top_3_gap_sum,top_5_gap_sum,dbscan_cluster_count,average_nearest_neighbor_distance_3d,persistent_neighbor_stability,radial_spiral_fit_R2,fitted_k,golden_k,golden_spiral_error,golden_spiral_relative_error,family_compactness,interaction_compactness,geometry_coherence_score,observed_phi_score,empirical_p_value_score_ge_observed
shuffle_lifetimes,9,1.618033988749895,3.1072603077769867,0.07128999136015357,1.141422082248884,2.5274394501280324,3.4694327328688175,3,0.9537070166061853,0.8620689655172413,0.7706243810965945,0.15582264984310754,0.30634896253003313,0.1505263126869256,0.49135571226936553,0.10545924447714333,0.11798781820348102,-0.4957745232391979,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,10,1.618033988749895,3.0926896365099616,0.1544802974042177,1.0365949036771038,2.3914015123813597,3.3969595876997767,2,0.9780182600483076,0.9310344827586207,0.8863145885847712,-0.17709596865893712,0.30634896253003313,0.48344493118897025,1.5780857463866078,0.11285332172997777,0.11066753132717316,-0.8723912122003826,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,11,1.618033988749895,3.164208047583995,0.11287209091188524,0.7875736402369338,1.9757112346281407,2.9257812534656957,4,0.9273149848691544,0.9655172413793104,0.07604927273126239,0.06853343132204001,0.30634896253003313,0.23781553120799312,0.776289657532882,0.10658006170145304,0.1185839511799946,-0.7664086211917189,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,12,1.618033988749895,3.46610072007239,0.12320773066692046,0.5824890144811228,1.5423255807025138,2.31793726027357,3,0.8187964134867992,0.9655172413793104,0.012301721374455066,-0.06601993408604233,0.30634896253003313,0.3723688966160755,1.2155056558403394,0.11430952842348152,0.1124493121034834,-1.4377098505345587,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,13,1.618033988749895,3.414039513026634,0.19392296560117717,0.5639947808521586,1.5098711775120228,2.3295163977731934,2,0.9842914012432914,0.8275862068965517,0.559922038906679,0.17849182040757838,0.30634896253003313,0.12785714212245475,0.41735784272460263,0.10665444025364587,0.1118944964796658,-0.9853673736101223,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,14,1.618033988749895,3.2795521154442153,0.13625582347076798,0.7340457213224525,2.0895454724688847,2.839088617944869,3,0.8785016464969173,1.0,0.18679943491779294,-0.19734876413416494,0.30634896253003313,0.5036977266641981,1.6441959603986507,0.10720281113408717,0.11052263548872654,-1.2980478274556317,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,15,1.618033988749895,3.3485176326855943,0.10781420515488253,1.1246213143937882,2.21066764371829,3.2158412477308818,3,0.919945516322693,0.8620689655172413,0.6088166936641479,0.14228984163000952,0.30634896253003313,0.16405912090002361,0.5355301991073006,0.11891254921120259,0.10277734008694832,-0.9146390310455244,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,16,1.618033988749895,3.107812460570211,0.2501441913042908,1.4536682511826613,2.77017079710757,3.7764435817640183,3,0.884716022186769,0.9310344827586207,0.152661462174,0.1664436529705576,0.30634896253003313,0.13990530955947553,0.45668608897528035,0.11771371827171212,0.1193763717193785,-0.5207976720326883,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,17,1.618033988749895,3.3619783059808768,0.06527317468732706,0.8597967129355313,1.8791190707663237,2.7055596933582513,4,0.8764586021436366,0.8620689655172413,0.1311541219574779,-0.14123030827159327,0.30634896253003313,0.4475792708016264,1.4610112177473022,0.1034776109693951,0.115151884488846,-1.369917261570892,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,18,1.618033988749895,3.2197128915300914,0.24266079314245292,0.8241047316866457,2.335642475398336,3.0711349910208634,3,0.9769024693963467,0.9310344827586207,0.040682244529235745,0.08320030513610621,0.30634896253003313,0.22314865739392692,0.7284132955797112,0.11213060156052759,0.11871393896414181,-0.8392344534404418,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,19,1.618033988749895,3.341630358884914,0.18993325911393844,0.7702599809799142,1.9547518943585493,2.864156739280829,2,0.8926415074718896,0.896551724137931,0.3044767486101123,-0.1865606499911462,0.30634896253003313,0.4929096125211793,1.6089808447543106,0.10197870663147283,0.11331905936298207,-1.3843044824073183,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,20,1.618033988749895,3.391452546404096,0.14765055097020746,0.8303514811553798,1.6888012484101278,2.4425082003930667,4,0.8855068903880221,0.9310344827586207,0.5365254077875383,-0.13609933673847055,0.30634896253003313,0.4424482992685037,1.4442624372365158,0.11289473789680163,0.10756046386249271,-1.3472185243370824,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,21,1.618033988749895,3.1121468405382378,0.12782175853073136,0.7195576063329643,2.1135852463775375,3.054508013677414,5,0.8374969051149919,1.0,0.3477091295822199,0.28507476869307763,0.30634896253003313,0.0212741938369555,0.06944431494482332,0.12151253436775722,0.10711164741662893,-0.3199679484968132,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,22,1.618033988749895,3.430943823222256,0.07518227657211209,0.6413693780989718,1.706546346712054,2.5256884302759515,3,0.9516656209362692,0.7931034482758621,0.42521826047390443,-0.20613237499838705,0.30634896253003313,0.5124813375284202,1.6728678736040397,0.10679304746888708,0.10229175833200488,-1.5665168471668758,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,23,1.618033988749895,3.3836745295357282,0.18519500905479516,0.7633146146235985,1.9541364111544626,2.812126838921145,5,0.8984654582537307,0.8620689655172413,0.12973683495051624,0.18243163261122697,0.30634896253003313,0.12391732991880616,0.40449730560669955,0.11534317387883093,0.10858424060568214,-0.954280862381728,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,24,1.618033988749895,3.3542002891125096,0.13060136934937266,0.6196138464252039,1.734426430168556,2.6884486268112635,3,0.9808363770726198,0.9310344827586207,0.23368155580876693,0.15052373703346794,0.30634896253003313,0.1558252254965652,0.5086526953107888,0.10770149246867176,0.10063224996644732,-0.946508260536173,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,25,1.618033988749895,3.3485176326855943,0.18134010184400404,0.6702698768089892,1.993181459645741,3.054486179222768,3,0.9045494653820508,0.9655172413793104,0.5907596235734682,0.28140270435977444,0.30634896253003313,0.024946258170258695,0.0814308557281733,0.11182494295277835,0.10120923790563335,-0.7089289653005217,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,26,1.618033988749895,3.4140395130266334,0.10160448773526919,0.7527170760806343,1.7610184223933998,2.5986289782356318,3,0.9516919209158926,0.8620689655172413,0.09692268753153355,-0.134742367899488,0.30634896253003313,0.44109133042952114,1.43983294993623,0.1062944537389113,0.10876263796669705,-1.4461798938525696,-1.1647578339532458,0.7128712871287128
