variant,tau_stable_s,base,base_value,category_type,category,particle_count,angular_centroid_deg,angular_variance
stable_truncated_1e+25,1e+25,e,2.718281828459045,family,baryon,7,209.97994378123988,0.7063859997952149
stable_truncated_1e+25,1e+25,e,2.718281828459045,family,boson,3,253.88782685289942,0.3671882374431813
stable_truncated_1e+25,1e+25,e,2.718281828459045,family,lepton,3,228.7738058168331,0.29375371291105634
stable_truncated_1e+25,1e+25,e,2.718281828459045,family,meson,17,50.38824207002423,0.9170825267214938
stable_truncated_1e+25,1e+25,e,2.718281828459045,family,quark,1,224.07609155455916,0.0
stable_truncated_1e+25,1e+25,e,2.718281828459045,dominant_interaction,electromagnetic,2,347.86188469833536,0.35626400122196056
stable_truncated_1e+25,1e+25,e,2.718281828459045,dominant_interaction,mixed,3,160.69424663445326,0.3657651363780301
stable_truncated_1e+25,1e+25,e,2.718281828459045,dominant_interaction,stable,2,210.81297858732708,0.9515513519113492
stable_truncated_1e+25,1e+25,e,2.718281828459045,dominant_interaction,strong,4,238.66709542408105,0.20796291172956827
stable_truncated_1e+25,1e+25,e,2.718281828459045,dominant_interaction,weak,20,232.84528034893626,0.8960672914643978
stable_truncated_1e+25,1e+25,pi,3.141592653589793,family,baryon,7,330.18748512019573,0.8989532178480295
stable_truncated_1e+25,1e+25,pi,3.141592653589793,family,boson,3,184.92148215716173,0.10248107344700996
stable_truncated_1e+25,1e+25,pi,3.141592653589793,family,lepton,3,221.81709955559563,0.5119532700493025
stable_truncated_1e+25,1e+25,pi,3.141592653589793,family,meson,17,273.072303654666,0.7223557403515835
stable_truncated_1e+25,1e+25,pi,3.141592653589793,family,quark,1,104.71516051495932,0.0
stable_truncated_1e+25,1e+25,pi,3.141592653589793,dominant_interaction,electromagnetic,2,297.6972300629147,0.2972620002204487
stable_truncated_1e+25,1e+25,pi,3.141592653589793,dominant_interaction,mixed,3,166.7031892254889,0.6855970292549305
stable_truncated_1e+25,1e+25,pi,3.141592653589793,dominant_interaction,stable,2,174.0192366417557,0.7964709865298278
stable_truncated_1e+25,1e+25,pi,3.141592653589793,dominant_interaction,strong,4,116.5805930217793,0.665522075299308
stable_truncated_1e+25,1e+25,pi,3.141592653589793,dominant_interaction,weak,20,251.05958335857935,0.7083986226206924
