particle_a,particle_b,tolerance_type,tolerance_value,base_count,connected_count,persistence_fraction,mean_distance,min_distance,max_distance,family_match,interaction_match,empirical_p_value,passes_threshold
eta,B0,angular_close_deg,10.0,2009,93,0.04629168740666999,98.13112098921462,0.017812872493493614,179.99858394102722,True,False,0.003199360127974405,True
eta,Bs0,angular_close_deg,10.0,2009,98,0.04878048780487805,97.94263325763774,0.023184353968161986,179.94879888727246,True,False,0.0033993201359728054,True
eta,Upsilon_1S,angular_close_deg,10.0,2009,5,0.0024888003982080635,102.74561841827794,1.955008908718355,179.92140951921442,True,False,0.022195560887822437,True
eta,W,angular_close_deg,10.0,2009,81,0.04031856645097063,106.28978661313118,0.045120123727031114,179.93980187969305,False,False,0.003799240151969606,True
eta,Z,angular_close_deg,10.0,2009,83,0.041314086610253854,105.81777727089155,0.15954868452024584,179.97699787689703,False,False,0.004599080183963208,True
eta,Higgs,angular_close_deg,10.0,2009,91,0.04529616724738676,78.6396538812074,0.05915538491947814,179.62369970920622,False,False,0.0027994401119776045,True
eta,top,angular_close_deg,10.0,2009,59,0.02936784469885515,102.12339117922284,0.1431630809510125,179.9402193179488,False,False,0.003999200159968006,True
rho_770,omega_782,angular_close_deg,10.0,2009,127,0.06321553011448482,65.3251795761252,0.07077282055121259,179.86819015524435,True,True,0.008398320335932814,True
rho_770,phi_1020,angular_close_deg,10.0,2009,365,0.18168242906918866,64.53359606106336,0.004968873848838484,179.83861523099773,True,True,0.007198560287942412,True
rho_770,D0,angular_close_deg,10.0,2009,120,0.05973120955699353,84.39939739042883,0.0066643479528352145,179.74556836052602,True,False,0.0023995200959808036,True
rho_770,D_plus,angular_close_deg,10.0,2009,139,0.06918865107018417,85.76390226848102,0.02605708935425355,179.97585336087963,True,False,0.001799640071985603,True
rho_770,Ds_plus,angular_close_deg,10.0,2009,126,0.0627177700348432,83.74798483528998,0.13434369692583914,179.76379989635063,True,False,0.003199360127974405,True
rho_770,J_psi,angular_close_deg,10.0,2009,64,0.031856645097063215,106.36791286232733,0.047425854460982464,179.97602658600687,True,False,0.004799040191961607,True
rho_770,B_plus,angular_close_deg,10.0,2009,96,0.047784967645594825,96.17556746931226,0.022084457524556456,179.9996673725973,True,False,0.0023995200959808036,True
rho_770,B0,angular_close_deg,10.0,2009,99,0.04927824788451966,96.03836071285443,0.08534877004086638,179.8890750457233,True,False,0.003199360127974405,True
rho_770,Bs0,angular_close_deg,10.0,2009,99,0.04927824788451966,96.06227792180265,0.23817888723721126,179.95804335471217,True,False,0.0013997200559888023,True
rho_770,Upsilon_1S,angular_close_deg,10.0,2009,130,0.06470881035340965,79.37034737435928,0.01914571509706775,179.77093955497003,True,False,0.003999200159968006,True
rho_770,W,angular_close_deg,10.0,2009,44,0.021901443504230962,124.10911076727479,0.07761459985403008,179.46932126065872,False,False,0.0061987602479504095,True
rho_770,Z,angular_close_deg,10.0,2009,36,0.017919362867098058,128.9878959379455,0.17903734618164435,179.99586460752232,False,False,0.003799240151969606,True
rho_770,Higgs,angular_close_deg,10.0,2009,64,0.031856645097063215,105.26491699768687,0.16434278510041622,179.93502308382955,False,False,0.00599880023995201,True
rho_770,top,angular_close_deg,10.0,2009,119,0.059233449477351915,68.30005610147262,0.02285313588174631,179.99522361507002,False,False,0.005598880223955209,True
omega_782,phi_1020,angular_close_deg,10.0,2009,8,0.003982080637132902,110.51346113963893,0.9020393945893375,179.94804787064072,True,True,0.020395920815836834,True
omega_782,D0,angular_close_deg,10.0,2009,148,0.07366849178695868,86.05469043517365,0.06395777208456366,179.8803205837641,True,False,0.003599280143971206,True
omega_782,D_plus,angular_close_deg,10.0,2009,95,0.04728720756595321,95.93165067758788,0.0018693273095209406,179.95309913432243,True,False,0.002999400119976005,True
omega_782,Ds_plus,angular_close_deg,10.0,2009,105,0.05226480836236934,89.50840406562628,0.06892178315507635,179.94256883901573,True,False,0.004199160167966407,True
omega_782,J_psi,angular_close_deg,10.0,2009,83,0.041314086610253854,101.467125731476,0.10609592653457867,179.98850258319928,True,False,0.003199360127974405,True
omega_782,B_plus,angular_close_deg,10.0,2009,112,0.05574912891986063,87.93918513275418,0.05912149903315367,179.7491758697057,True,False,0.0027994401119776045,True
omega_782,B0,angular_close_deg,10.0,2009,112,0.05574912891986063,88.5612183872571,0.1569783530414952,179.96953515627058,True,False,0.001799640071985603,True
omega_782,Bs0,angular_close_deg,10.0,2009,112,0.05574912891986063,88.45794637770203,0.055830526359955,179.80963249106458,True,False,0.003199360127974405,True
omega_782,Upsilon_1S,angular_close_deg,10.0,2009,229,0.11398705823792932,73.206666872799,0.00314824055584495,179.91016208045573,True,False,0.004599080183963208,True
omega_782,W,angular_close_deg,10.0,2009,6,0.0029865604778496766,102.87830026634218,1.3513241873863535,179.78231875914605,False,False,0.004799040191961607,True
omega_782,Z,angular_close_deg,10.0,2009,7,0.003484320557491289,107.6434452094003,0.20895106440099198,179.96099092389346,False,False,0.0033993201359728054,True
omega_782,Higgs,angular_close_deg,10.0,2009,80,0.039820806371329016,105.74404320760333,0.020457052753926064,179.99981764737691,False,False,0.008398320335932814,True
omega_782,top,angular_close_deg,10.0,2009,1654,0.8232951717272274,9.118252825343578,5.810271430170189,124.66938030973063,False,False,0.018196360727854428,True
phi_1020,D0,angular_close_deg,10.0,2009,122,0.06072672971627675,83.31743388739278,0.08583886448587918,179.9690649881963,True,False,0.002999400119976005,True
phi_1020,D_plus,angular_close_deg,10.0,2009,146,0.07267297162767546,85.62640546016915,0.04047337816359686,179.91135435438002,True,False,0.003999200159968006,True
phi_1020,Ds_plus,angular_close_deg,10.0,2009,129,0.06421105027376804,82.47340506289143,0.1268194214626419,179.8881805254547,True,False,0.004399120175964807,True
phi_1020,J_psi,angular_close_deg,10.0,2009,46,0.022896963663514187,114.24571781399627,0.22504857998742978,179.96261572800978,True,False,0.004599080183963208,True
phi_1020,B_plus,angular_close_deg,10.0,2009,96,0.047784967645594825,96.89382766267772,0.10726325148235105,179.9522209848816,True,False,0.002599480103979204,True
phi_1020,B0,angular_close_deg,10.0,2009,92,0.045793927327028375,96.95046892594652,0.1379012442384635,179.8687437702933,True,False,0.002599480103979204,True
phi_1020,Bs0,angular_close_deg,10.0,2009,95,0.04728720756595321,96.92116392195261,0.11795859819233101,179.99539620499462,True,False,0.003599280143971206,True
phi_1020,Upsilon_1S,angular_close_deg,10.0,2009,130,0.06470881035340965,75.1050675700321,0.09161617759090745,179.8718356137233,True,False,0.004599080183963208,True
phi_1020,W,angular_close_deg,10.0,2009,35,0.017421602787456445,137.4759572359519,0.16872214655052176,179.9884740476191,False,False,0.004199160167966407,True
phi_1020,Z,angular_close_deg,10.0,2009,32,0.015928322548531607,134.4417326644487,0.1981264936088678,179.99243799621001,False,False,0.003799240151969606,True
phi_1020,Higgs,angular_close_deg,10.0,2009,44,0.021901443504230962,112.27341476544743,0.015429736627254442,179.9538266788466,False,False,0.012997400519896021,True
