base,from_entity,to_entity,from_theta_deg,to_theta_deg,gap_deg,gap_fraction,from_log10_N,to_log10_N,from_frequency_hz,to_frequency_hz,from_cycles,to_cycles
phi,K_short,Ds_plus,129.41427121592397,158.88338624713782,29.469115031213846,0.0818586528644829,13.032361426487812,11.377567751184174,1.2032180447431181e+23,4.759449124657848e+23,10773614372629.879,238543590127.85135
phi,Omega_minus,W,251.39767938752752,277.79892475914005,26.401245371612546,0.07333679269892374,13.521150664275083,0.7882310922760309,4.043966107924921e+23,1.9433186099497117e+25,33200961746063.605,6.140886807441088
phi,neutron,D0,304.24156534326414,328.7606318683362,24.519066525072045,0.06810851812520012,26.300073716822478,11.267197457307917,2.2718590824858967e+23,4.509163058209639e+23,1.9956010180556114e+26,185010960278.34146
phi,top,pi_plus,161.8721785102116,181.990619464475,20.11844095426341,0.055884558206287245,1.1389084362748172,14.943771874719356,4.172482236141734e+25,3.374797015335964e+22,13.769191379267722,878560907002411.5
phi,tau,muon,33.8089043929665,51.976384415944494,18.167480022978,0.05046522228605,11.09597171977255,16.74918461424223,4.2965976239379536e+23,2.5548081529516867e+22,124730229022.9188,5.612865226160765e+16
phi,pi_plus,K_long,181.990619464475,198.44555022434918,16.454930759874177,0.045708140999650496,14.943771874719356,15.789274872247002,3.374797015335964e+22,1.2032180447431181e+23,878560907002411.5,6155663516905793.0
phi,Z,Omega_minus,237.77435782050594,251.39767938752752,13.623321567021598,0.03784255990839333,0.7649959817301074,13.521150664275083,2.204916030072395e+25,4.043966107924921e+23,5.820978319391123,33200961746063.605
phi,rho_770,Higgs,217.61128775185477,228.05159631891001,10.440308567055226,0.02900085713070896,-0.08265966936381419,3.685178675832777,1.8745703398187536e+23,3.027322531090317e+25,0.8266855198600702,4843.716049744508
phi,D0,Sigma_plus,328.7606318683362,338.68884135208475,9.928209483748535,0.027578359677079264,11.267197457307917,13.362837396118582,4.509163058209639e+23,2.8758838648585384e+23,185010960278.34146,23058836828435.76
phi,W,B0,277.79892475914005,285.54977010610315,7.750845346963081,0.021530125963786336,0.7882310922760309,12.287050836244319,1.9433186099497117e+25,1.2766306161220584e+24,6.140886807441088,1936648644657.1626
phi,B0,pi0,285.54977010610315,292.688453911209,7.13868380510589,0.01982967723640525,12.287050836244319,6.439541066697468,1.2766306161220584e+24,3.2637245033104756e+22,1936648644657.1626,2751319.756290731
phi,K_long,phi_1020,198.44555022434918,205.40712775157598,6.961577527226785,0.019337715353407735,15.789274872247002,1.582156678747984,1.2032180447431181e+23,2.4650457307251326e+23,6155663516905793.0,38.208208826239556
phi,K_plus,rho_770,211.03070899880663,217.61128775185477,6.580578753048145,0.018279385425133736,15.169617903259415,-0.08265966936381419,1.193705675064756e+23,1.8745703398187536e+23,1477807625730168.0,0.8266855198600702
phi,eta,tau,27.757011534983036,33.8089043929665,6.05189285798346,0.0168108134943985,4.82282926003031,11.09597171977255,1.3247244221471272e+23,4.2965976239379536e+23,66501.16599178579,124730229022.9188
phi,Xi_minus,Z,232.50291662048195,237.77435782050594,5.271441200023966,0.014642892222288793,13.719169493736818,0.7649959817301074,3.195880561156057e+23,2.204916030072395e+25,52380482397347.77,5.820978319391123
phi,Delta_1232,eta,22.850945604404036,27.757011534983036,4.906065930579,0.013627960918275003,0.22225309913704822,4.82282926003031,2.978962746248619e+23,1.3247244221471272e+23,1.6682191378992266,66501.16599178579
phi,Higgs,Xi_minus,228.05159631891001,232.50291662048195,4.451320301571958,0.012364778615477658,3.685178675832777,13.719169493736818,3.027322531090317e+25,3.195880561156057e+23,4843.716049744508,52380482397347.77
phi,Sigma_plus,B_plus,338.68884135208475,342.91686517834336,4.228023826258628,0.011744510628496189,13.362837396118582,12.320353652430827,2.8758838648585384e+23,1.2765556584555537e+24,23058836828435.76,2090998168550.197
phi,Bs0,D_plus,297.31275133034757,301.44825355076193,4.135502220414345,0.011487506167817626,12.293879496489762,11.669317322546195,1.297717900302281e+24,4.5208177663564874e+23,1967340336858.258,467000475264.6251
phi,phi_1020,omega_782,205.40712775157598,209.10691863695814,3.6997908853821597,0.010277196903839332,1.582156678747984,1.1663292053773442,2.4650457307251326e+23,1.892463460210182e+23,38.208208826239556,14.666591816628907
phi,Ds_plus,top,158.88338624713782,161.8721785102116,2.9887922630737784,0.008302200730760496,11.377567751184174,1.1389084362748172,4.759449124657848e+23,4.172482236141734e+25,238543590127.85135,13.769191379267722
phi,pi0,J_psi,292.688453911209,295.639354820763,2.9509009095539764,0.008196946970983268,6.439541066697468,3.7244148040524654,3.2637245033104756e+22,7.488270883812783e+23,2751319.756290731,5301.695785739452
phi,D_plus,neutron,301.44825355076193,304.24156534326414,2.7933117925022373,0.007759199423617326,11.669317322546195,26.300073716822478,4.5208177663564874e+23,2.2718590824858967e+23,467000475264.6251,1.9956010180556114e+26
phi,omega_782,K_plus,209.10691863695814,211.03070899880663,1.9237903618485068,0.005343862116245852,1.1663292053773442,15.169617903259415,1.892463460210182e+23,1.193705675064756e+23,14.666591816628907,1477807625730168.0
phi,Lambda,Upsilon_1S,95.80122810449325,97.54531247519111,1.744084370697869,0.004844678807494081,13.84879890259473,4.445367569337434,2.6977094915770273e+23,2.2875145425820157e+24,70599057394570.8,27884.802274074773
phi,J_psi,Bs0,295.639354820763,297.31275133034757,1.6733965095845436,0.0046483236377348434,3.7244148040524654,12.293879496489762,7.488270883812783e+23,1.297717900302281e+24,5301.695785739452,1967340336858.258
pi,pi_plus,phi_1020,21.19934124735792,65.68349633210119,44.484155084743264,0.12356709745762018,14.943771874719356,1.582156678747984,3.374797015335964e+22,2.4650457307251326e+23,878560907002411.5,38.208208826239556
pi,pi0,pi_plus,343.0501410936859,21.19934124735792,38.149200153672,0.10597000042686666,6.439541066697468,14.943771874719356,3.2637245033104756e+22,3.374797015335964e+22,2751319.756290731,878560907002411.5
pi,K_short,top,77.0940660425353,104.71516051495932,27.62109447242402,0.07672526242340005,13.032361426487812,1.1389084362748172,1.2032180447431181e+23,4.172482236141734e+25,10773614372629.879,13.769191379267722
pi,Xi_minus,D0,214.4308205905152,238.88991914995145,24.459098559436264,0.0679419404428785,13.719169493736818,11.267197457307917,3.195880561156057e+23,4.509163058209639e+23,52380482397347.77,185010960278.34146
pi,omega_782,Higgs,124.57129931554806,148.54000406435924,23.96870474881117,0.06657973541336436,1.1663292053773442,3.685178675832777,1.892463460210182e+23,3.027322531090317e+25,14.666591816628907,4843.716049744508
pi,B_plus,rho_770,281.50950545226425,300.1438427214863,18.634337269222083,0.051762047970061335,12.320353652430827,-0.08265966936381419,1.2765556584555537e+24,1.8745703398187536e+23,2090998168550.197,0.8266855198600702
pi,Z,W,193.9547901931671,210.77997763856092,16.825187445393833,0.04673663179276065,0.7649959817301074,0.7882310922760309,2.204916030072395e+25,1.9433186099497117e+25,5.820978319391123,6.140886807441088
pi,neutron,Upsilon_1S,324.61221471778146,339.0138484578549,14.401633740073487,0.040004538166870794,26.300073716822478,4.445367569337434,2.2718590824858967e+23,2.2875145425820157e+24,1.9956010180556114e+26,27884.802274074773
pi,Higgs,Delta_1232,148.54000406435924,160.9396282367417,12.399624172382483,0.03444340047884023,3.685178675832777,0.22225309913704822,3.027322531090317e+25,2.978962746248619e+23,4843.716049744508,1.6682191378992266
pi,Bs0,K_long,262.3388354747475,273.4514926166473,11.11265714189983,0.03086849206083286,12.293879496489762,15.789274872247002,1.297717900302281e+24,1.2032180447431181e+23,1967340336858.258,6155663516905793.0
pi,top,tau,104.71516051495932,114.90061753615636,10.185457021197038,0.028292936169991775,1.1389084362748172,11.09597171977255,4.172482236141734e+25,4.2965976239379536e+23,13.769191379267722,124730229022.9188
pi,tau,omega_782,114.90061753615636,124.57129931554806,9.670681779391698,0.026863004942754717,11.09597171977255,1.1663292053773442,4.2965976239379536e+23,1.892463460210182e+23,124730229022.9188,14.666591816628907
pi,D0,muon,238.88991914995145,248.5487381325655,9.658818982614015,0.026830052729483377,11.267197457307917,16.74918461424223,4.509163058209639e+23,2.5548081529516867e+22,185010960278.34146,5.612865226160765e+16
