record_type,members,member_count,persistence_neighbor_score
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_short"", ""W"", ""Z""]",8,0.0125
cluster,"[""Delta_1232"", ""eta"", ""neutron"", ""pi0"", ""tau""]",5,0.0125
cluster,"[""K_plus"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""rho_770""]",5,0.0125
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""phi_1020""]",5,0.0125
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""neutron"", ""omega_782"", ""rho_770"", ""top""]",13,0.0125
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""neutron"", ""omega_782"", ""top""]",12,0.0125
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""Upsilon_1S""]",5,0.0125
cluster,"[""D0"", ""Delta_1232"", ""K_long"", ""eta"", ""phi_1020"", ""pi0"", ""tau""]",7,0.0125
cluster,"[""D0"", ""K_long"", ""eta"", ""phi_1020"", ""pi0"", ""rho_770"", ""tau""]",7,0.0125
cluster,"[""D0"", ""eta"", ""phi_1020"", ""pi0"", ""rho_770""]",5,0.0125
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""muon"", ""neutron"", ""pi_plus""]",9,0.0125
cluster,"[""D_plus"", ""Delta_1232"", ""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""muon"", ""neutron"", ""pi_plus""]",10,0.0125
cluster,"[""D_plus"", ""Delta_1232"", ""Sigma_plus"", ""neutron"", ""pi_plus""]",5,0.0125
cluster,"[""D0"", ""D_plus"", ""Delta_1232"", ""Ds_plus"", ""K_plus"", ""K_short"", ""Omega_minus"", ""Sigma_plus"", ""eta"", ""muon"", ""neutron"", ""phi_1020"", ""pi0"", ""pi_plus"", ""rho_770""]",15,0.0125
cluster,"[""W"", ""Z"", ""neutron"", ""tau""]",4,0.0125
cluster,"[""K_plus"", ""K_short"", ""Upsilon_1S""]",3,0.008333333333333333
cluster,"[""Higgs"", ""J_psi"", ""Lambda"", ""eta"", ""pi_plus""]",5,0.008333333333333333
cluster,"[""Delta_1232"", ""neutron"", ""tau""]",3,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Ds_plus""]",4,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""Delta_1232"", ""Ds_plus"", ""K_plus"", ""Sigma_plus"", ""neutron"", ""omega_782"", ""tau"", ""top""]",12,0.008333333333333333
cluster,"[""Omega_minus"", ""Upsilon_1S"", ""pi0""]",3,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""Sigma_plus""]",5,0.008333333333333333
cluster,"[""Omega_minus"", ""omega_782"", ""top""]",3,0.008333333333333333
cluster,"[""Higgs"", ""J_psi"", ""K_plus"", ""K_short"", ""eta"", ""phi_1020"", ""tau""]",7,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""Sigma_plus"", ""W"", ""Z""]",7,0.008333333333333333
cluster,"[""D_plus"", ""Lambda"", ""pi_plus""]",3,0.008333333333333333
cluster,"[""D_plus"", ""Lambda"", ""W"", ""Z"", ""pi_plus""]",5,0.008333333333333333
cluster,"[""K_plus"", ""K_short"", ""pi0"", ""rho_770""]",4,0.008333333333333333
cluster,"[""Upsilon_1S"", ""omega_782"", ""top""]",3,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""K_long"", ""Omega_minus"", ""Sigma_plus"", ""W"", ""Z"", ""neutron"", ""pi0"", ""tau""]",12,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_long"", ""Omega_minus"", ""Sigma_plus"", ""neutron"", ""phi_1020"", ""pi0"", ""tau""]",10,0.008333333333333333
cluster,"[""K_short"", ""omega_782"", ""rho_770"", ""top""]",4,0.008333333333333333
cluster,"[""Delta_1232"", ""K_long"", ""Sigma_plus""]",3,0.008333333333333333
cluster,"[""D_plus"", ""K_plus"", ""Upsilon_1S"", ""W"", ""Z""]",5,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""Omega_minus"", ""tau""]",6,0.008333333333333333
cluster,"[""D0"", ""Ds_plus"", ""Lambda"", ""Xi_minus"", ""phi_1020"", ""pi0"", ""pi_plus""]",7,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Higgs"", ""J_psi"", ""K_long"", ""Omega_minus"", ""Sigma_plus"", ""eta"", ""omega_782"", ""rho_770"", ""tau"", ""top""]",13,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Higgs"", ""J_psi"", ""Omega_minus"", ""eta"", ""omega_782"", ""rho_770"", ""tau"", ""top""]",11,0.008333333333333333
cluster,"[""Upsilon_1S"", ""W"", ""Z""]",3,0.008333333333333333
cluster,"[""D_plus"", ""K_short"", ""muon"", ""phi_1020""]",4,0.008333333333333333
cluster,"[""Sigma_plus"", ""W"", ""Z""]",3,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Xi_minus"", ""eta"", ""neutron"", ""omega_782"", ""pi_plus"", ""rho_770"", ""tau"", ""top""]",18,0.008333333333333333
cluster,"[""D_plus"", ""Delta_1232"", ""K_short"", ""muon"", ""phi_1020""]",5,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Omega_minus"", ""W"", ""Xi_minus"", ""Z"", ""eta"", ""neutron"", ""pi_plus"", ""tau""]",11,0.008333333333333333
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_plus"", ""Lambda"", ""omega_782"", ""rho_770"", ""top""]",9,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""neutron"", ""pi_plus"", ""tau""]",12,0.008333333333333333
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_plus"", ""Lambda"", ""eta"", ""omega_782"", ""rho_770"", ""top""]",10,0.008333333333333333
cluster,"[""D_plus"", ""muon"", ""pi0""]",3,0.008333333333333333
cluster,"[""Delta_1232"", ""K_long"", ""phi_1020""]",3,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Omega_minus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""pi_plus"", ""tau""]",10,0.008333333333333333
cluster,"[""D0"", ""K_plus"", ""Lambda"", ""eta""]",4,0.008333333333333333
cluster,"[""Delta_1232"", ""K_long"", ""Sigma_plus"", ""neutron"", ""phi_1020""]",5,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Upsilon_1S"", ""pi_plus""]",5,0.008333333333333333
cluster,"[""Delta_1232"", ""Omega_minus"", ""phi_1020""]",3,0.008333333333333333
cluster,"[""D0"", ""K_plus"", ""Lambda""]",3,0.008333333333333333
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_short"", ""neutron"", ""omega_782"", ""pi0"", ""top""]",9,0.008333333333333333
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_short"", ""omega_782"", ""pi0"", ""top""]",8,0.008333333333333333
cluster,"[""Sigma_plus"", ""omega_782"", ""rho_770"", ""top""]",4,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Omega_minus"", ""Xi_minus"", ""pi_plus"", ""rho_770""]",7,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Xi_minus"", ""neutron"", ""omega_782"", ""pi_plus"", ""rho_770"", ""tau"", ""top""]",13,0.008333333333333333
