peak_rank,peak_base,peak_score,expression,n,constant_value,absolute_error,relative_error,match_rank_for_peak
83,34.03920784156831,0.0436782837130053,phi^n,12,321.996894379985,287.9576865384167,8.459588362886809,102
83,34.03920784156831,0.0436782837130053,e^n,6,403.428793492735,369.38958565116667,10.851885489534574,103
83,34.03920784156831,0.0436782837130053,phi^n,13,521.0019193787257,486.96271153715736,14.305935490733829,104
83,34.03920784156831,0.0436782837130053,phi^n,14,842.9988137587108,808.9596059171424,23.76552385362064,105
83,34.03920784156831,0.0436782837130053,pi^n,6,961.3891935753043,927.3499857337359,27.243583048406496,106
83,34.03920784156831,0.0436782837130053,e^n,7,1096.6331584284583,1062.59395058689,31.216764959179272,107
83,34.03920784156831,0.0436782837130053,phi^n,15,1364.0007331374366,1329.9615252958683,39.07145934435447,108
83,34.03920784156831,0.0436782837130053,phi^n,16,2206.9995468961474,2172.960339054579,63.83698319797511,109
83,34.03920784156831,0.0436782837130053,e^n,8,2980.957987041727,2946.9187792001585,86.57424676027311,110
83,34.03920784156831,0.0436782837130053,pi^n,7,3020.2932277767914,2986.254019935223,87.72983301592706,111
83,34.03920784156831,0.0436782837130053,phi^n,17,3571.000280033584,3536.9610721920158,103.90844254232958,112
83,34.03920784156831,0.0436782837130053,phi^n,18,5777.999826929732,5743.960619088164,168.74542574030474,113
83,34.03920784156831,0.0436782837130053,e^n,9,8103.08392757538,8069.044719733812,237.0514836094388,114
83,34.03920784156831,0.0436782837130053,phi^n,19,9349.000106963316,9314.960899121748,273.65386828263433,115
83,34.03920784156831,0.0436782837130053,pi^n,8,9488.53101607057,9454.491808229002,277.7529915570855,116
83,34.03920784156831,0.0436782837130053,phi^n,20,15126.999933893048,15092.96072605148,443.39929402293905,117
83,34.03920784156831,0.0436782837130053,e^n,10,22026.465794806703,21992.426586965135,646.0910221332537,118
83,34.03920784156831,0.0436782837130053,pi^n,9,29809.0993334462,29775.060125604632,874.7283504419174,119
83,34.03920784156831,0.0436782837130053,e^n,11,59874.14171519778,59840.10250735621,1757.9757668238133,120
83,34.03920784156831,0.0436782837130053,pi^n,10,93648.04747608298,93614.0082682414,2750.1817522886354,121
83,34.03920784156831,0.0436782837130053,e^n,12,162754.79141900383,162720.75221116227,4780.391863656987,122
83,34.03920784156831,0.0436782837130053,pi^n,11,294204.01797389047,294169.9787660489,8642.092381680273,123
83,34.03920784156831,0.0436782837130053,e^n,13,442413.3920089202,442379.35280107864,12996.170617720714,124
83,34.03920784156831,0.0436782837130053,pi^n,12,924269.1815233737,924235.1423155321,27152.075530584647,125
83,34.03920784156831,0.0436782837130053,e^n,14,1202604.2841647759,1202570.2449569344,35328.97271153204,126
83,34.03920784156831,0.0436782837130053,pi^n,13,2903677.270613282,2903643.2314054403,85302.9026092535,127
83,34.03920784156831,0.0436782837130053,e^n,15,3269017.372472108,3268983.333264266,96035.82282171147,128
83,34.03920784156831,0.0436782837130053,e^n,16,8886110.520507865,8886076.481300022,261054.1503391992,129
83,34.03920784156831,0.0436782837130053,pi^n,14,9122171.181754349,9122137.142546507,267989.11375977,130
83,34.03920784156831,0.0436782837130053,e^n,17,24154952.753575277,24154918.714367434,709620.4713926894,131
83,34.03920784156831,0.0436782837130053,pi^n,15,28658145.969387982,28658111.93018014,841914.7726223865,132
83,34.03920784156831,0.0436782837130053,e^n,18,65659969.13733045,65659935.09812261,1928950.1507711178,133
83,34.03920784156831,0.0436782837130053,pi^n,16,90032220.84293322,90032186.80372538,2644955.4062118637,134
83,34.03920784156831,0.0436782837130053,e^n,19,178482300.96318707,178482266.92397922,5243431.8611262925,135
83,34.03920784156831,0.0436782837130053,pi^n,17,282844563.5865329,282844529.5473251,8309374.614820454,136
83,34.03920784156831,0.0436782837130053,e^n,20,485165195.40978974,485165161.3705819,14253127.265144622,137
83,34.03920784156831,0.0436782837130053,pi^n,18,888582403.0712627,888582369.0320549,26104672.387438104,138
83,34.03920784156831,0.0436782837130053,pi^n,19,2791563949.5978436,2791563915.5586357,82010249.13833652,139
83,34.03920784156831,0.0436782837130053,pi^n,20,8769956796.082693,8769956762.043486,257642798.35365936,140
