base,name,family,x,y,z
27.539748953974893,Ds_plus,meson,0.3535107159812224,-0.25242683922414155,11.377567751184174
27.539748953974893,J_psi,meson,-0.12352233659674684,-0.07460044274909468,3.7244148040524654
27.539748953974893,B_plus,meson,-0.44127656702702733,-0.16213104749414234,12.320353652430827
27.539748953974893,B0,meson,-0.4588675014704567,-0.09626441256178477,12.287050836244319
27.539748953974893,Bs0,meson,-0.4560475228767822,-0.10995296115737765,12.293879496489762
27.539748953974893,Upsilon_1S,meson,0.146536050041436,0.08935046555373286,4.445367569337434
27.539748953974893,W,boson,-0.031556828183962986,-0.009685996002721804,0.7882310922760309
27.539748953974893,Z,boson,-0.031511357372717326,-0.006270463551587949,0.7649959817301074
27.539748953974893,Higgs,boson,-0.13304070184055986,-0.05192464691537042,3.685178675832777
27.539748953974893,top,quark,0.011776824261646605,-0.04477904987205001,1.1389084362748172
27.743933054393302,muon,lepton,-0.5020252575414039,-0.393698127252566,16.74918461424223
27.743933054393302,tau,lepton,-0.15938612698961613,-0.39258927222947043,11.09597171977255
27.743933054393302,neutron,baryon,0.1635839776000617,0.9865294127761942,26.300073716822478
27.743933054393302,Lambda,baryon,-0.4346613212379231,-0.2998476084680962,13.84879890259473
27.743933054393302,Sigma_plus,baryon,-0.03001008744682519,0.5087480999621821,13.362837396118582
27.743933054393302,Xi_minus,baryon,-0.5227305993395236,-0.020659925544149204,13.719169493736818
27.743933054393302,Omega_minus,baryon,-0.3507865249440236,0.3779236658745697,13.521150664275083
27.743933054393302,Delta_1232,baryon,0.006555872483320103,0.009517950003613676,0.22225309913704822
27.743933054393302,pi0,meson,-0.24023355778363276,0.058334967340446554,6.439541066697468
27.743933054393302,pi_plus,meson,-0.348627785584151,0.4503911214559723,14.943771874719356
27.743933054393302,K_plus,meson,-0.5766511765523952,-0.041126764507691975,15.169617903259415
27.743933054393302,K_short,meson,0.48807496347866164,0.09432620323536596,13.032361426487812
27.743933054393302,K_long,meson,0.5603311991972684,-0.21898687882644302,15.789274872247002
27.743933054393302,eta,meson,-0.10143253892609215,0.1558315799171989,4.82282926003031
27.743933054393302,rho_770,meson,0.0,-0.0,-0.08265966936381419
27.743933054393302,omega_782,meson,0.016920973262324248,-0.04421385436532999,1.1663292053773442
27.743933054393302,phi_1020,meson,0.051897588643340535,0.035896593024730215,1.582156678747984
27.743933054393302,D0,meson,0.15147447680180592,-0.4026508329084318,11.267197457307917
27.743933054393302,D_plus,meson,0.38211732762785133,0.22892117702171513,11.669317322546195
27.743933054393302,Ds_plus,meson,0.3235594499847416,-0.28982480535630245,11.377567751184174
27.743933054393302,J_psi,meson,-0.12613612414764672,-0.07009045499702815,3.7244148040524654
27.743933054393302,B_plus,meson,-0.45745839561606516,-0.10836651442711448,12.320353652430827
27.743933054393302,B0,meson,-0.4670581397843615,-0.04102334814196565,12.287050836244319
27.743933054393302,Bs0,meson,-0.46588933794792425,-0.05491922774192824,12.293879496489762
27.743933054393302,Upsilon_1S,meson,0.15025129728363026,0.08295099349013967,4.445367569337434
27.743933054393302,W,boson,-0.03162995968597041,-0.009444446720734368,0.7882310922760309
27.743933054393302,Z,boson,-0.03155701727065473,-0.006036473937862938,0.7649959817301074
27.743933054393302,Higgs,boson,-0.13481135729752006,-0.04713698385678725,3.685178675832777
27.743933054393302,top,quark,0.01128144356958995,-0.04490641299546656,1.1389084362748172
27.948117154811715,muon,lepton,-0.5585079574552516,-0.30837710043200894,16.74918461424223
27.948117154811715,tau,lepton,-0.20016446638368454,-0.3734494082787521,11.09597171977255
27.948117154811715,neutron,baryon,0.40450075665469354,0.9145376634484664,26.300073716822478
27.948117154811715,Lambda,baryon,-0.4705258133489767,-0.23967584662751834,13.84879890259473
27.948117154811715,Sigma_plus,baryon,0.035225842615403694,0.50841358614393,13.362837396118582
27.948117154811715,Xi_minus,baryon,-0.5209259498342309,0.04806523482364165,13.719169493736818
27.948117154811715,Omega_minus,baryon,-0.2989974819013216,0.42009283393917396,13.521150664275083
27.948117154811715,Delta_1232,baryon,0.00657613558448715,0.009503961124882884,0.22225309913704822
27.948117154811715,pi0,meson,-0.2361773347969614,0.0730438034893925,6.439541066697468
27.948117154811715,pi_plus,meson,-0.2807588872866752,0.4955481231699149,14.943771874719356
27.948117154811715,K_plus,meson,-0.5765245227089505,0.0428656610044634,15.169617903259415
27.948117154811715,K_short,meson,0.4960245485439057,0.032775750690274275,13.032361426487812
27.948117154811715,K_long,meson,0.5209070448367997,-0.30096869692941214,15.789274872247002
27.948117154811715,eta,meson,-0.09412243785922193,0.16035276094885442,4.82282926003031
27.948117154811715,rho_770,meson,0.0,-0.0,-0.08265966936381419
27.948117154811715,omega_782,meson,0.016425600189167118,-0.04440026928306331,1.1663292053773442
27.948117154811715,phi_1020,meson,0.05243602216492335,0.03510539384903928,1.582156678747984
27.948117154811715,D0,meson,0.10718744847626546,-0.4166330054777017,11.267197457307917
27.948117154811715,D_plus,meson,0.40528313112121617,0.1848354430055048,11.669317322546195
27.948117154811715,Ds_plus,meson,0.29009002526017574,-0.3233216861251309,11.377567751184174
27.948117154811715,J_psi,meson,-0.128557577983596,-0.06554344238497557,3.7244148040524654
27.948117154811715,B_plus,meson,-0.46704033481954793,-0.053710434929824816,12.320353652430827
27.948117154811715,B0,meson,-0.4686428665041641,0.014145130128964447,12.287050836244319
27.948117154811715,Bs0,meson,-0.4691150602166617,0.00023888751080683448,12.293879496489762
27.948117154811715,Upsilon_1S,meson,0.15364861570404756,0.07647497988652856,4.445367569337434
27.948117154811715,W,boson,-0.03170041758439863,-0.009205185960731815,0.7882310922760309
27.948117154811715,Z,boson,-0.031600434986762745,-0.005804900108553167,0.7649959817301074
