peak_rank,base,top_k,selected_gaps,midpoint_angles_deg,area,perimeter,symmetry_score,compactness
6,2.390958191638328,5,"[""J_psi -> top"", ""Delta_1232 -> K_long"", ""proton -> K_short"", ""W -> phi_1020"", ""Bs0 -> B_plus""]","[47.05065076711076, 133.90760477350483, 183.35412110227577, 233.01726262633775, 332.3691785389937]",2.235864083843062,5.7891745357124496,0.052753364646248836,0.8383434535501814
6,2.390958191638328,6,"[""J_psi -> top"", ""Delta_1232 -> K_long"", ""proton -> K_short"", ""W -> phi_1020"", ""Bs0 -> B_plus"", ""phi_1020 -> Xi_minus""]","[47.05065076711076, 75.33690103740582, 133.90760477350483, 183.35412110227577, 233.01726262633775, 332.3691785389937]",2.400196796717878,5.881286294991924,0.05260076768708237,0.871991143481561
7,14.964352870574114,3,"[""Lambda -> K_plus"", ""muon -> phi_1020"", ""electron -> K_short""]","[17.537266112279752, 108.06700557946387, 305.1552935644286]",0.8296038999584483,4.579496921088449,0.0190868135502198,0.4971015373894607
7,14.964352870574114,4,"[""Lambda -> K_plus"", ""muon -> phi_1020"", ""electron -> K_short"", ""proton -> D0""]","[17.537266112279752, 108.06700557946387, 198.92276360671298, 305.1552935644286]",1.9565381688568961,5.626138918804237,0.10194704869683192,0.7767428887318542
7,14.964352870574114,5,"[""Lambda -> K_plus"", ""muon -> phi_1020"", ""electron -> K_short"", ""proton -> D0"", ""pi_plus -> Upsilon_1S""]","[17.537266112279752, 108.06700557946387, 198.92276360671298, 270.1046895163656, 305.1552935644286]",2.2368942262340097,5.792672076099711,0.06208485403663995,0.8377171857961188
7,14.964352870574114,6,"[""Lambda -> K_plus"", ""muon -> phi_1020"", ""electron -> K_short"", ""proton -> D0"", ""pi_plus -> Upsilon_1S"", ""Delta_1232 -> muon""]","[17.537266112279752, 79.75162310741744, 108.06700557946387, 198.92276360671298, 270.1046895163656, 305.1552935644286]",2.416426792342909,5.8944000714603995,0.050306860547154664,0.8739856208103544
8,20.196759351870373,3,"[""Sigma_plus -> Omega_minus"", ""K_short -> K_long"", ""Ds_plus -> Higgs""]","[14.540185698825882, 107.33603707893998, 277.1718288526971]",1.0835108540384448,4.942595058950356,0.029219379855105313,0.5573564981466075
8,20.196759351870373,4,"[""Sigma_plus -> Omega_minus"", ""K_short -> K_long"", ""Ds_plus -> Higgs"", ""Xi_minus -> Z""]","[14.540185698825882, 107.33603707893998, 197.38478210835981, 277.1718288526971]",1.9873534999759332,5.647998324465881,0.16376055472681597,0.7828812099215552
8,20.196759351870373,5,"[""Sigma_plus -> Omega_minus"", ""K_short -> K_long"", ""Ds_plus -> Higgs"", ""Xi_minus -> Z"", ""D0 -> eta""]","[14.540185698825882, 107.33603707893998, 197.38478210835981, 238.83508327512223, 277.1718288526971]",2.13640190325354,5.729733977007617,0.03747398185805536,0.8177563075672779
8,20.196759351870373,6,"[""Sigma_plus -> Omega_minus"", ""K_short -> K_long"", ""Ds_plus -> Higgs"", ""Xi_minus -> Z"", ""D0 -> eta"", ""K_long -> neutron""]","[14.540185698825882, 44.17453135671529, 107.33603707893998, 197.38478210835981, 238.83508327512223, 277.1718288526971]",2.3303699104230287,5.840310757068758,0.04077272046788214,0.8585445108814436
