base,score,prominence,width,rank
2.732626525305061,0.0489221758122911,0.0339526979664223,0.019523904780956336,41
15.34506901380276,0.0566388776423956,0.0335313613313896,0.029285857171432284,42
4.84120824164833,0.0578944770354619,0.03248609597662169,0.019523904780957224,43
2.947389477895579,0.0643971700966559,0.0322434460892865,0.019523904780956336,44
3.943108621724345,0.0662733462418828,0.032051338356611905,0.019523904780956336,45
4.9095419083816765,0.0546165608584872,0.0318537352878114,0.02928585717143406,46
5.749069813962793,0.0481131165149123,0.031004002455709598,0.019523904780956336,47
6.080976195239048,0.0554907431118483,0.030915800720572095,0.019523904780955448,48
5.007161432286457,0.0517858422084227,0.0302288168548934,0.02928585717143406,49
7.008361672334467,0.0475685981059507,0.029962717002594605,0.019523904780956336,50
4.802160432086417,0.0467043708140038,0.028013468010339496,0.02928585717143406,51
20.77271454290858,0.0543182778025257,0.027406055584451396,0.1757151430286079,52
2.986437287457491,0.052160171589768,0.026436082390668796,0.03904780956191267,53
3.386677335467093,0.0499718298911911,0.0263752503923317,0.02928585717143406,54
1.4635727145429085,0.0415430382002894,0.0260221785464044,0.03904780956191245,55
14.77887577515503,0.0479345735347128,0.025844302018577105,0.13666733346669346,56
43.693778755751154,0.5624904298467424,0.024832378250770004,0.019523904780960777,57
6.490978195639128,0.045320688049477,0.024580083522333596,0.019523904780956336,58
4.8802560512102415,0.0509253798174083,0.0244440358552662,0.02928585717143406,59
3.3378675735147025,0.0480003084630351,0.0244037289641757,0.03904780956191223,60
13.841728345669132,0.0554739422719334,0.024147160867671297,0.019523904780957224,61
7.886937387477495,0.055405928752672,0.0241332104810858,0.02928585717143406,62
1.3561912382476495,0.0441626977623885,0.0240743709250864,0.019523904780956336,63
45.35331066213243,0.044471244475497,0.023986518380775503,0.7907181436287232,64
4.968113622724545,0.0466959685388497,0.0239412447999878,0.019523904780956336,65
5.641688337667533,0.0439909363060221,0.0239397926662163,0.03904780956191267,66
10.22004400880176,0.0475926800139582,0.023524678622637202,0.019523904780957224,67
1.6978595719143827,0.041860472907029,0.023466781642065004,0.029285857171434282,68
2.752150430086017,0.0354212996181339,0.023080955365136303,0.029285857171433616,69
5.114542908581716,0.0551589326175346,0.023056101655002,0.019523904780956336,70
17.59031806361272,0.0490100569563184,0.023016992179820502,0.06833366673334851,71
2.3421484296859374,0.046329080499504,0.022995757009374302,0.019523904780956336,72
5.085257051410282,0.0419583062946519,0.0228681470706019,0.019523904780956336,73
6.198119623924785,0.0467776001068815,0.022786502853179298,0.02928585717143406,74
11.967433486697338,0.0521724411306656,0.022582340466078203,0.029285857171432284,75
4.616683336667333,0.0434116185176267,0.021350108774737097,0.01952390478095456,76
3.7673934786957393,0.0421911827214497,0.021324974218929798,0.019523904780956336,77
3.181676335267053,0.0382460577674928,0.0207894690652644,0.01952390478095678,78
10.503140628125625,0.0402202568244816,0.020668633347319797,0.01952390478095367,79
10.288377675535106,0.0564939453831866,0.020656508536465397,0.029285857171432284,80
8.648369673934786,0.0409340509818889,0.020629490918692803,0.02928585717143406,81
17.463412682536507,0.0414295553999114,0.0205332743331065,0.1073814762952594,82
34.03920784156831,0.0436782837130053,0.020489725976527397,0.1366673334666899,83
3.5135827165433087,0.0384701896390299,0.020285705987657502,0.029285857171434948,84
14.359111822364472,0.0383726802122061,0.0200453364009241,0.029285857171435836,85
1.902860572114423,0.0438417586233065,0.0200399165575548,0.019523904780956114,86
5.339067813562712,0.0528321288938412,0.020002321344182804,0.019523904780956336,87
2.8888177635527104,0.0460319326414049,0.0197673933231937,0.029285857171434504,88
5.397639527905581,0.038346225798435,0.019517852097978003,0.02928585717143406,89
7.223124624924985,0.0536953309772945,0.0193105735883531,0.02928585717143406,90
24.736067213442688,0.0393858189746637,0.0193100727546465,0.09761952390477902,91
2.000480096019204,0.040240300950508,0.019281525090443997,0.029285857171434504,92
2.6057211442288457,0.0493181019498329,0.018992258528670602,0.019523904780955892,93
11.08885777155431,0.0457431332931498,0.0189479270670676,0.029285857171437613,94
8.199319863972795,0.0420458397829257,0.018854619542091697,0.02928585717143406,95
13.65625125025005,0.0370876292755575,0.018836589776170996,0.048809761952391284,96
7.925985197039408,0.0499607985300901,0.018688080258503895,0.03904780956191267,97
32.252770554110825,0.0349718397815443,0.0185980625098296,0.19523904780956514,98
5.417163432686538,0.0423788605850387,0.018450397247912403,0.02928585717143406,99
22.56891378275655,0.0346741827292965,0.018358244697559804,0.029285857171430507,100
39.99399879975995,0.0479693558352705,0.018352349094180296,0.1854770954190812,101
6.637407481496299,0.0652942962442,0.018343338894865398,0.019523904780956336,102
