name,family,dominant_interaction,mass_mev,compton_frequency_hz,lifetime_s,compton_cycles,log10_N,base,log_base_N,phase_fraction,theta_rad,theta_deg,complex_x,complex_y
K_plus,meson,weak,493.677,1.193705675064756e+23,1.238e-08,1477807625730168.0,15.169617903259415,2,50.39237990154377,0.39237990154376945,2.4653956322123847,141.256764555757,-0.7799583765423884,0.6258313917193367
K_short,meson,weak,497.611,1.2032180447431181e+23,8.954e-11,10773614372629.879,13.032361426487812,2,43.2925675653762,0.29256756537620277,1.8382562281290602,105.324323535433,-0.2642825056646823,0.9644453106317626
K_long,meson,weak,497.611,1.2032180447431181e+23,5.116e-08,6155663516905793.0,15.789274872247002,2,52.45083579601639,0.450835796016392,2.8326848494808075,162.30088656590112,-0.952666185593286,0.30401831988736944
eta,meson,electromagnetic,547.862,1.3247244221471272e+23,5.02e-19,66501.16599178579,4.82282926003031,2,16.021092015739516,0.0210920157395158,0.13252504339332627,7.593125666225689,0.9912314012068884,0.13213746350459712
rho_770,meson,strong,775.26,1.8745703398187536e+23,4.41e-24,0.8266855198600702,-0.08265966936381419,2,-0.2745894779737546,0.7254105220262455,4.557888733668779,261.1477879294484,-0.15388631802600125,-0.9880885593530574
omega_782,meson,strong,782.66,1.892463460210182e+23,7.749999999999999e-23,14.666591816628907,1.1663292053773442,2,3.874461755230653,0.8744617552306528,5.494405252155709,314.80623188303497,0.7047113835888696,-0.7094940914766388
phi_1020,meson,strong,1019.461,2.4650457307251326e+23,1.55e-22,38.208208826239556,1.582156678747984,2,5.255810721646608,0.2558107216466077,1.6073061676689722,92.09185979277876,-0.03650173033679582,0.9993335897899259
D0,meson,weak,1864.84,4.509163058209639e+23,4.103e-13,185010960278.34146,11.267197457307917,2,37.428819784074626,0.4288197840746264,2.6943541667256152,154.3751222668655,-0.9016448304798174,0.4324772822577174
D_plus,meson,weak,1869.66,4.5208177663564874e+23,1.033e-12,467000475264.6251,11.669317322546195,2,38.764633061921984,0.7646330619219839,4.804331220051948,275.2679022919142,0.09181275736246218,-0.9957762889251288
Ds_plus,meson,weak,1968.35,4.759449124657848e+23,5.012e-13,238543590127.85135,11.377567751184174,2,37.79546196414313,0.7954619641431293,4.998034925524325,286.36630709152655,0.2817772813766293,-0.9594798401738287
J_psi,meson,mixed,3096.9,7.488270883812783e+23,7.080000000000001e-21,5301.695785739452,3.7244148040524654,2,12.372238174596294,0.37223817459629416,2.338841429394785,134.0057428546659,-0.6947304676366362,0.7192701699204416
B_plus,meson,weak,5279.41,1.2765556584555537e+24,1.638e-12,2090998168550.197,12.320353652430827,2,40.9273289369581,0.9273289369580979,5.826579551617586,333.83841730491525,0.8975542013663926,-0.440904134262242
B0,meson,weak,5279.72,1.2766306161220584e+24,1.517e-12,1936648644657.1626,12.287050836244319,2,40.81669937622926,0.8166993762292591,5.131473521106414,294.0117754425333,0.4069243865690151,-0.913461845736006
Bs0,meson,weak,5366.93,1.297717900302281e+24,1.516e-12,1967340336858.258,12.293879496489762,2,40.83938369454904,0.839383694549042,5.274003296676659,302.17813003765514,0.5325532429159837,-0.8463965048720778
