variant,base,top_4_symmetry_score
finite_lifetime_only,7.013013013013013,0.044303106072996284
finite_lifetime_only,7.061861861861861,0.01969739062682526
finite_lifetime_only,7.110710710710711,0.027189914802540002
finite_lifetime_only,7.159559559559559,0.020538031825468633
finite_lifetime_only,7.208408408408408,0.031720831254330305
finite_lifetime_only,7.257257257257257,0.03521512570033731
finite_lifetime_only,7.306106106106106,0.02726044084581474
finite_lifetime_only,7.354954954954954,0.04440818961111459
finite_lifetime_only,7.403803803803804,0.02581804396349929
finite_lifetime_only,7.452652652652652,0.026544708902767875
finite_lifetime_only,7.501501501501501,0.02689125913122666
finite_lifetime_only,7.55035035035035,0.022544858253740422
finite_lifetime_only,7.599199199199199,0.021501839000580048
finite_lifetime_only,7.6480480480480475,0.03039107978021857
finite_lifetime_only,7.696896896896897,0.03209631365476185
finite_lifetime_only,7.7457457457457455,0.03263087135732762
finite_lifetime_only,7.794594594594594,0.031208664573624336
finite_lifetime_only,7.8434434434434435,0.02416742262441136
finite_lifetime_only,7.892292292292292,0.05497268549050865
finite_lifetime_only,7.941141141141141,0.04275144808948307
finite_lifetime_only,7.98998998998999,0.028406263494225866
finite_lifetime_only,8.038838838838839,0.023735436033519908
finite_lifetime_only,8.087687687687687,0.024285020551502792
finite_lifetime_only,8.136536536536536,0.027428435322713354
finite_lifetime_only,8.185385385385384,0.023788315416752387
finite_lifetime_only,8.234234234234233,0.020147342990505242
finite_lifetime_only,8.283083083083083,0.03174953026489743
finite_lifetime_only,8.331931931931932,0.03461791432081143
finite_lifetime_only,8.38078078078078,0.014680366380595958
finite_lifetime_only,8.429629629629629,0.016021920066331144
finite_lifetime_only,8.478478478478477,0.01562852198109083
finite_lifetime_only,8.527327327327326,0.01981817248497322
finite_lifetime_only,8.576176176176176,0.02019222901349238
finite_lifetime_only,8.625025025025025,0.02296596749382979
finite_lifetime_only,8.673873873873873,0.031137569071945558
finite_lifetime_only,8.722722722722722,0.030990240565425972
finite_lifetime_only,8.77157157157157,0.03084585595285441
finite_lifetime_only,8.820420420420419,0.01606636746195482
finite_lifetime_only,8.86926926926927,0.021404179806355353
finite_lifetime_only,8.918118118118118,0.020745766528165222
finite_lifetime_only,8.966966966966966,0.02046266296054704
finite_lifetime_only,9.015815815815815,0.03151772455030466
finite_lifetime_only,9.064664664664663,0.018939131818652574
finite_lifetime_only,9.113513513513512,0.02492125050380574
finite_lifetime_only,9.162362362362362,0.022597433709261754
finite_lifetime_only,9.21121121121121,0.02131954125500816
finite_lifetime_only,9.26006006006006,0.016332031236436933
finite_lifetime_only,9.308908908908908,0.042583073184641176
finite_lifetime_only,9.357757757757756,0.03594944000556202
finite_lifetime_only,9.406606606606605,0.016910135483951132
finite_lifetime_only,9.455455455455454,0.01815102915633113
finite_lifetime_only,9.504304304304304,0.03510069201393745
finite_lifetime_only,9.553153153153152,0.032376663084249815
finite_lifetime_only,9.602002002002001,0.03107042017935804
finite_lifetime_only,9.65085085085085,0.03971663813066045
finite_lifetime_only,9.699699699699698,0.10431571441572238
finite_lifetime_only,9.748548548548547,0.09295946158624109
finite_lifetime_only,9.797397397397397,0.02088547596557897
finite_lifetime_only,9.846246246246245,0.018953716848600248
finite_lifetime_only,9.895095095095094,0.01862066929054389
finite_lifetime_only,9.943943943943943,0.04033298632972383
finite_lifetime_only,9.992792792792791,0.02165118074464371
finite_lifetime_only,10.04164164164164,0.02079360316149592
finite_lifetime_only,10.09049049049049,0.030062317678540295
finite_lifetime_only,10.139339339339339,0.022363551547022346
finite_lifetime_only,10.188188188188187,0.02177248058043009
finite_lifetime_only,10.237037037037036,0.043901233539361276
finite_lifetime_only,10.285885885885884,0.04539544274078732
finite_lifetime_only,10.334734734734733,0.04455846625738743
finite_lifetime_only,10.383583583583583,0.03166933295150269
finite_lifetime_only,10.432432432432432,0.02535412278207995
finite_lifetime_only,10.48128128128128,0.019331072541502667
finite_lifetime_only,10.530130130130129,0.051045690599632286
finite_lifetime_only,10.578978978978977,0.02642998228287383
finite_lifetime_only,10.627827827827826,0.03931744200765012
